process_id,state_index,state_name,standard_deviation_mm_day,variance_mm2_day2
lower_groundwater_low,4,SLZ,1.0,1.0
lower_groundwater_medium,4,SLZ,4.0,16.0
lower_groundwater_high,4,SLZ,16.0,256.0
