### channel=id33-transformer-recipe-repair seq=46
### host=login4
### started=2026-09-10T09:10:36+0800
### ---------- output ----------
=== STAMP ===
2026-09-10T09:10:36+0800
=== EPOCHWISE MEDIANS ===
###EPOCHS T1 results/33_transformer_recipe_repair/T1/transformer_recipe_repair_T1_2026_0909_1839_ep30
1,0.45918
2,0.46342
3,0.51226
4,0.54383
5,0.57148
6,0.58078
7,0.61169
8,0.49919
9,0.60016
10,0.60212
11,0.62787
12,0.62512
13,0.64225
14,0.62561
15,0.64221
16,0.62926
17,0.63844
18,0.63976
19,0.65148
20,0.62880
21,0.65689
22,0.66053
23,0.66745
24,0.66335
25,0.65145
26,0.66746
27,0.66786
28,0.66427
29,0.66420
30,0.67052
###EPOCHS T2 results/33_transformer_recipe_repair/T2/transformer_recipe_repair_T2_2026_0909_1839_ep30
1,0.48203
2,0.48086
3,0.55560
4,0.56873
5,0.57852
6,0.61305
7,0.62543
8,0.59212
9,0.64632
10,0.62715
11,0.65665
12,0.67349
13,0.67849
14,0.66741
15,0.68903
16,0.67168
17,0.68811
18,0.67979
19,0.69337
20,0.67590
21,0.70536
22,0.70563
23,0.71037
24,0.70519
25,0.70678
26,0.70829
27,0.70780
28,0.70575
29,0.71348
30,0.70364
###EPOCHS T3 results/33_transformer_recipe_repair/T3/transformer_recipe_repair_T3_2026_0909_1839_ep30
1,0.47230
2,0.46210
3,0.50949
4,0.56358
5,0.58361
6,0.59822
7,0.60996
8,0.58707
9,0.62502
10,0.61042
11,0.64897
12,0.65071
13,0.65949
14,0.65286
15,0.66356
16,0.65392
17,0.67136
18,0.65724
19,0.67631
20,0.66988
21,0.68780
22,0.68589
23,0.69383
24,0.68173
25,0.68285
26,0.68654
27,0.69327
28,0.69203
29,0.68612
30,0.68790
###EPOCHS T4 results/33_transformer_recipe_repair/T4/transformer_recipe_repair_T4_2026_0909_1836_ep30
1,0.66280
2,0.67491
3,0.68022
4,0.67257
5,0.68274
6,0.69276
7,0.67630
8,0.68346
9,0.68749
10,0.68397
11,0.69314
12,0.69434
13,0.68809
14,0.68508
15,0.69229
16,0.69467
17,0.69042
18,0.68966
19,0.68552
20,0.68739
21,0.68913
22,0.69382
23,0.68980
24,0.69333
25,0.68960
26,0.69245
27,0.69334
28,0.69452
29,0.69005
30,0.69203
###EPOCHS T5 results/33_transformer_recipe_repair/T5/transformer_recipe_repair_T5_2026_0909_1836_ep30
1,0.47373
2,0.56199
3,0.57553
4,0.58501
5,0.60593
6,0.61623
7,0.61985
8,0.61978
9,0.64149
10,0.65709
11,0.67589
12,0.67219
13,0.69197
14,0.66516
15,0.69088
16,0.67207
17,0.67663
18,0.68810
19,0.68058
20,0.70225
21,0.70371
22,0.69953
23,0.71047
24,0.70580
25,0.69422
26,0.70640
27,0.70649
28,0.70780
29,0.70641
30,0.70473
###EPOCHS L33 results/33_transformer_recipe_repair/L33/transformer_recipe_repair_L33_2026_0909_1836_ep30
1,0.68259
2,0.69530
3,0.70639
4,0.69373
5,0.69627
6,0.70866
7,0.70444
8,0.69166
9,0.69074
10,0.69757
11,0.69383
12,0.69288
13,0.68855
14,0.68725
15,0.68175
