metric,n_total,n_observed,n_censored,censored_fraction,min,q25,median,q75,max,reference,reference_call,reference_quantile_note
phase1_true_filter_mean_prob,24,24,0,0.0,0.34875963184064684,0.4276634387544646,0.4705901115816699,0.5063145647554786,0.581242672920214,0.33259149687632206,异常，单实现结论依赖种子,
phase1_first_top_cycle,24,24,0,0.0,3.0,5.75,9.5,24.0,177.0,6,非异常,
phase1_stable_top_cycle,24,23,1,0.041666666666666664,682.0,719.0,1030.0,1143.5,1207.0,724,非异常,
phase2_true_filter_mean_prob,24,24,0,0.0,0.46236589516639987,0.4988056571527023,0.5531775655265438,0.5827777757967562,0.6044174155063986,0.3650905271830478,异常，单实现结论依赖种子,
phase2_first_top_cycle,24,24,0,0.0,89.0,91.75,93.0,102.25,113.0,120,异常，单实现结论依赖种子,
phase2_stable_top_cycle,24,23,1,0.041666666666666664,93.0,997.5,1072.0,1177.0,1217.0,560,非异常,位于四分位距外，经验分位位置 0.04
