### channel=zhenjiang-six-source-four-target-ukf seq=68
### host=login4
### started=2026-09-03T15:36:19+0800
### ---------- output ----------
=== SNAPSHOT_TIME ===
2026-09-03T15:36:19+0800
=== STATE_DIFFERENCE_DIAGNOSTICS_CSV ===
source_index,source_station,issue_horizon_hour,post_update_lead_hour,cell_count,state_mean_absolute_difference,state_l2_difference
2,zhenjiang,24,23,24849,0.0002697839120228537,0.001834059761044313
3,jiangyin,2,1,24849,0.000534969908843519,0.004165872671433093
3,jiangyin,3,2,24849,0.0004953666927957279,0.0037482518933102294
3,jiangyin,4,3,24849,0.00047298368395902533,0.003505940829742037
3,jiangyin,5,4,24849,0.00044651524147696904,0.00324846545921974
3,jiangyin,6,5,24849,0.0004133525250797939,0.002964615144076496
3,jiangyin,7,6,24849,0.00038276643383651585,0.0027217671827794348
3,jiangyin,8,7,24849,0.00035716864223426034,0.002518541215972896
3,jiangyin,9,8,24849,0.0003379090174537807,0.0023644835408510576
3,jiangyin,10,9,24849,0.0003243318378974388,0.0022533091173079826
3,jiangyin,11,10,24849,0.00031408500840569847,0.002173601630975586
3,jiangyin,12,11,24849,0.00030663707737344723,0.00210976869026403
3,jiangyin,13,12,24849,0.0003007548184569302,0.002058312231395969
3,jiangyin,14,13,24849,0.0002940945165087248,0.0020076983368849917
3,jiangyin,15,14,24849,0.00028570590118819826,0.0019542763245887634
3,jiangyin,16,15,24849,0.0002787094994022471,0.0019082026987322074
3,jiangyin,17,16,24849,0.0002720677592664772,0.001862966435149528
3,jiangyin,18,17,24849,0.00026455057343650087,0.0018086859932707562
3,jiangyin,19,18,24849,0.00025762567146053375,0.0017570626666889753
3,jiangyin,20,19,24849,0.000251815088958843,0.001712036515018337
3,jiangyin,21,20,24849,0.0002472828897108647,0.0016765749376386533
3,jiangyin,22,21,24849,0.00024333856216350857,0.001648440607540911
3,jiangyin,23,22,24849,0.00023978583799272047,0.0016219252357665272
3,jiangyin,24,23,24849,0.00023673373634736433,0.0015981080303278572
4,xuliujing,2,1,24849,0.001830308991403584,0.014595971990205557
4,xuliujing,3,2,24849,0.001642730280410991,0.012182697416877565
4,xuliujing,4,3,24849,0.001523699946543154,0.011017756945133583
4,xuliujing,5,4,24849,0.001382513646553992,0.009805841893825268
4,xuliujing,6,5,24849,0.001256925528244619,0.008971259849673108
4,xuliujing,7,6,24849,0.0011507801472395087,0.00844186140823734
4,xuliujing,8,7,24849,0.001037059738503386,0.007597312029550349
4,xuliujing,9,8,24849,0.0009259756103441953,0.006748347240662159
4,xuliujing,10,9,24849,0.0008316639225567368,0.005982562706197693
4,xuliujing,11,10,24849,0.0007549567293409058,0.005362133564963069
4,xuliujing,12,11,24849,0.0006977251928761219,0.004905961168593109
4,xuliujing,13,12,24849,0.0006574135290619785,0.004593150494189557
4,xuliujing,14,13,24849,0.0006343349157758529,0.004402648159989167
4,xuliujing,15,14,24849,0.0006155825140553177,0.004240101863986155
4,xuliujing,16,15,24849,0.0006017171795700671,0.004125493819251339
4,xuliujing,17,16,24849,0.0005842470393463148,0.004001857874892004
4,xuliujing,18,17,24849,0.0005623836701689843,0.003861286727784257
4,xuliujing,19,18,24849,0.0005407273167365246,0.0037314919027173423
4,xuliujing,20,19,24849,0.0005166669971073577,0.0035942292457911
4,xuliujing,21,20,24849,0.0004923953742423398,0.003431131613528362
4,xuliujing,22,21,24849,0.00047405185486496453,0.003292032932361544
4,xuliujing,23,22,24849,0.0004609633609200189,0.0031846258110238305
4,xuliujing,24,23,24849,0.0004511337352331739,0.0031018968068601198
5,wusongkou,2,1,24849,0.0025104585540830066,0.022920566129577286
5,wusongkou,3,2,24849,0.0022390885238142083,0.01796558402621777
5,wusongkou,4,3,24849,0.002045596739815563,0.015541732105290744
5,wusongkou,5,4,24849,0.0018807855676029773,0.013811202729196542
5,wusongkou,6,5,24849,0.0017219922687276873,0.012465669980246888
5,wusongkou,7,6,24849,0.0015491551137873094,0.011312589411408848
5,wusongkou,8,7,24849,0.0014050973630121003,0.010488898871838662
5,wusongkou,9,8,24849,0.0012747683968978934,0.009602676235837332
5,wusongkou,10,9,24849,0.0011375374460435952,0.00850397163166768
5,wusongkou,11,10,24849,0.0010046182721040408,0.0073637012888475685
5,wusongkou,12,11,24849,0.0008856201251034441,0.006416615250767113
5,wusongkou,13,12,24849,0.0007865813956281261,0.005686887854493785
5,wusongkou,14,13,24849,0.0007156332715490732,0.005172207953283839
5,wusongkou,15,14,24849,0.0006690956096897881,0.004812168728694357
5,wusongkou,16,15,24849,0.0006366871151651031,0.004554340319544529
5,wusongkou,17,16,24849,0.000607753672348609,0.004330771837521746
5,wusongkou,18,17,24849,0.000580931328833444,0.004149880833338165
5,wusongkou,19,18,24849,0.0005518748470812937,0.003968250573627219
5,wusongkou,20,19,24849,0.0005231769613493565,0.003792391273671694
5,wusongkou,21,20,24849,0.0004982939574152941,0.0036458620034844555
5,wusongkou,22,21,24849,0.00047105266648441146,0.0034542742311294743
5,wusongkou,23,22,24849,0.00044248966390719177,0.0032356754255671943
5,wusongkou,24,23,24849,0.0004173189416646891,0.0030494914987087064
=== OBS_SUFFICIENT_STATS_HEADER ===
schema_version,experiment_id,seed,block_id,block_origin_count,source_index,source_station,cell_count,prior_absolute_residual_sum_m,posterior_absolute_residual_sum_m,innovation_absolute_sum_m,kalman_gain_norm_sum,posterior_observation_variance_sum_normalized,observation_contraction_min,observation_contraction_max,contraction_ratio_values_json,near_zero_prior_count,near_zero_posterior_max_absolute_residual_m,posterior_minimum_eigenvalue_minus_0_99_floor_min,observation_noise_standard_deviation_normalized
1.0,ZHENJIANG_SIX_SOURCE_FOUR_TARGET_D32_GRU_DIFFERENTIABLE_UKF_V1_2023_DEVELOPMENT_V1,17,0,145,0,datong,145,22.124867292236644,19.028624855741146,22.124867292236644,20.25624057257454,0.6483099812793989,0.13714761450111695,0.14264640782604768,"[0.8607947187355216,0.8600496466007951,0.8593362043799337,0.8587360171292572,0.8584283223308486,0.8589545584190661,0.8601199578855148,0.8611779532504937,0.8618148076887078,0.8620787107708202,0.8621884944129564,0.8621672615408191,0.8620496057296152,0.8616200792777667,0.8608632756628687,0.860302510770605,0.8596207465079494,0.8591382594325475,0.8592897181474252,0.8600475986490771,0.8609240462071975,0.8615019104481803,0.8617232612957383,0.8615309880847312,0.8611469970962143,0.8607358380821255,0.8600856206003159,0.8593298912046851,0.8586285730421749,0.8582216039793962,0.8587043551108776,0.8599363020321256,0.8611622813965496,0.8619360916620962,0.862296056656292,0.8623140548785785,0.8623305861373232,0.8622337394737766,0.8617501885555221,0.8609272106333571,0.8601278884260876,0.8591396349082114,0.858475379487183,0.8587036289589615,0.8597062612882487,0.8608437666398044,0.8615783698662223,0.8616845997346976,0.8613941359567594,0.8608924346990596,0.8604331521435671,0.859741648094171,0.8589508238410571,0.8581363329401651,0.8578573209559116,0.8586169239582924,0.8600557029904353,0.8614226303824492,0.862181524934382,0.8625137091819366,0.8624993491659351,0.8625370399305561,0.8623965617267534,0.8617759897750263,0.8608070964284931,0.8598584891910405,0.8586741675018686,0.8579973003362402,0.8584077795666604,0.8596194554098712,0.8608674181961645,0.8615910765127194,0.8615987453158092,0.8612271644414065,0.8607500441027265,0.8602928472344179,0.8595817600190219,0.8586408011927883,0.8578151627260281,0.8577107092048951,0.858721840344475,0.8603005895272177,0.8616695651245734,0.86227281219165,0.8624820446825994,0.8624440533528335,0.8625755040351184,0.8624813448307173,0.861690888893845,0.8606820010417007,0.859535898705501,0.858219270134523,0.8576275175014093,0.8583208468710972,0.8597626662184176,0.8610034439721882,0.8615435924046148,0.861515698934734,0.8611118405886165,0.8607690595752939,0.860319368319458,0.8594537778194667,0.858388293379545,0.8575970613466564,0.8576943673113995,0.8589881679769259,0.8606983014850901,0.8619531840564936,0.8624035057444532,0.8624142427607572,0.8624493346653108,0.8626397885703252,0.8623946363367404,0.861367710376879,0.8602195698395717,0.8588320319793187,0.8575549020963085,0.8574696580047934,0.8587415177478755,0.860343377988102,0.86149055931285,0.8616408562862679,0.8614242733266441,0.8610058071809984,0.8607377470370281,0.8601138947038477,0.859057757336563,0.8579357031912846,0.8574006990028085,0.8580002743484512,0.8596880019006325,0.861374450049929,0.862246316100608,0.8624787936442385,0.8623466707417887,0.8625776023426944,0.8628524755175251,0.8623363800148767,0.8610842368312994,0.859914569556893,0.8584801754979224,0.8573536176606832,0.8576465064278487,0.8591323192760414,0.860695586482286]",0,0.0,0.00031570704545014796,0.1789678919684505
rows=937
=== CROSS_RESPONSE_6x6 (posterior_obs_j - prior_obs_j, mean over origins, per assimilated source i) ===
columns=schema_version|experiment_id|seed|block_id|block_origin_count|source_index|source_station|cell_count|prior_absolute_residual_sum_m|posterior_absolute_residual_sum_m|innovation_absolute_sum_m|kalman_gain_norm_sum|posterior_observation_variance_sum_normalized|observation_contraction_min|observation_contraction_max|contraction_ratio_values_json|near_zero_prior_count|near_zero_posterior_max_absolute_residual_m|posterior_minimum_eigenvalue_minus_0_99_floor_min|observation_noise_standard_deviation_normalized
sum_like_columns=block_origin_count|cell_count|prior_absolute_residual_sum_m|posterior_absolute_residual_sum_m|innovation_absolute_sum_m|kalman_gain_norm_sum|posterior_observation_variance_sum_normalized|near_zero_prior_count
sample_row={'schema_version': '1.0', 'experiment_id': 'ZHENJIANG_SIX_SOURCE_FOUR_TARGET_D32_GRU_DIFFERENTIABLE_UKF_V1_2023_DEVELOPMENT_V1', 'seed': '17', 'block_id': '0', 'block_origin_count': '145', 'source_index': '0', 'source_station': 'datong', 'cell_count': '145', 'prior_absolute_residual_sum_m': '22.124867292236644', 'posterior_absolute_residual_sum_m': '19.028624855741146', 'innovation_absolute_sum_m': '22.124867292236644', 'kalman_gain_norm_sum': '20.25624057257454'}
sample_row={'schema_version': '1.0', 'experiment_id': 'ZHENJIANG_SIX_SOURCE_FOUR_TARGET_D32_GRU_DIFFERENTIABLE_UKF_V1_2023_DEVELOPMENT_V1', 'seed': '17', 'block_id': '0', 'block_origin_count': '145', 'source_index': '1', 'source_station': 'nanjing', 'cell_count': '145', 'prior_absolute_residual_sum_m': '6.896905020211188', 'posterior_absolute_residual_sum_m': '5.2723047691943865', 'innovation_absolute_sum_m': '6.896905020211188', 'kalman_gain_norm_sum': '47.01729830523178'}
sample_row={'schema_version': '1.0', 'experiment_id': 'ZHENJIANG_SIX_SOURCE_FOUR_TARGET_D32_GRU_DIFFERENTIABLE_UKF_V1_2023_DEVELOPMENT_V1', 'seed': '17', 'block_id': '0', 'block_origin_count': '145', 'source_index': '2', 'source_station': 'zhenjiang', 'cell_count': '145', 'prior_absolute_residual_sum_m': '8.521072575257344', 'posterior_absolute_residual_sum_m': '5.862059134549833', 'innovation_absolute_sum_m': '8.521072575257344', 'kalman_gain_norm_sum': '66.15844276940638'}
sample_row={'schema_version': '1.0', 'experiment_id': 'ZHENJIANG_SIX_SOURCE_FOUR_TARGET_D32_GRU_DIFFERENTIABLE_UKF_V1_2023_DEVELOPMENT_V1', 'seed': '17', 'block_id': '0', 'block_origin_count': '145', 'source_index': '3', 'source_station': 'jiangyin', 'cell_count': '145', 'prior_absolute_residual_sum_m': '8.26040813371923', 'posterior_absolute_residual_sum_m': '6.9104555040486275', 'innovation_absolute_sum_m': '8.26040813371923', 'kalman_gain_norm_sum': '14.276850345516655'}
sample_row={'schema_version': '1.0', 'experiment_id': 'ZHENJIANG_SIX_SOURCE_FOUR_TARGET_D32_GRU_DIFFERENTIABLE_UKF_V1_2023_DEVELOPMENT_V1', 'seed': '17', 'block_id': '0', 'block_origin_count': '145', 'source_index': '4', 'source_station': 'xuliujing', 'cell_count': '145', 'prior_absolute_residual_sum_m': '5.650467998902924', 'posterior_absolute_residual_sum_m': '0.44444538152425417', 'innovation_absolute_sum_m': '5.650467998902924', 'kalman_gain_norm_sum': '130.59568444315497'}
=== SNAPSHOT_END ===
2026-09-03T15:36:20+0800
### ---------- end ----------
### exit_code=0
### finished=2026-09-03T15:36:20+0800
