basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse
09386900,hbv_lite_cma,evaluation,0.149416,-0.082315,-0.585082,-0.656791,4.335829,13,explicit_euler_dt1,hbv,success,,52.36,0.176
09404450,hbv_lite_cma,evaluation,0.160647,0.463648,-0.333651,-0.263834,-0.348086,13,explicit_euler_dt1,hbv,success,,40.02,0.7554
09430600,hbv_lite_cma,evaluation,-0.21339,0.400405,0.063706,-0.106436,4.980146,13,explicit_euler_dt1,hbv,success,,28.69,0.4537
09447800,hbv_lite_cma,evaluation,0.135224,0.006772,-0.31611,-0.718428,2.80168,13,explicit_euler_dt1,hbv,success,,33.05,0.3608
09484600,hbv_lite_cma,evaluation,0.218987,0.488116,0.150358,-0.04317,1.999366,13,explicit_euler_dt1,hbv,success,,26.7,0.0701
09492400,hbv_lite_cma,evaluation,0.410365,0.327869,-0.371291,-0.54562,-0.005522,13,explicit_euler_dt1,hbv,success,,35.78,0.5837
09494000,hbv_lite_cma,evaluation,0.174243,0.577077,-0.126272,-0.346858,0.827819,13,explicit_euler_dt1,hbv,success,,33.96,0.5477
09497980,hbv_lite_cma,evaluation,0.629317,0.643314,-0.048468,-0.123896,-0.093967,13,explicit_euler_dt1,hbv,success,,28.92,0.5182
09505350,hbv_lite_cma,evaluation,0.512612,0.413299,0.253815,-0.177489,,13,explicit_euler_dt1,hbv,success,,28.29,0.589
09505800,hbv_lite_cma,evaluation,0.405342,0.155028,0.706895,-0.053827,3.772021,13,explicit_euler_dt1,hbv,success,,28.31,0.6078
09508300,hbv_lite_cma,evaluation,0.642356,0.498477,0.399244,0.036901,31167.259659,13,explicit_euler_dt1,hbv,success,,28.48,0.647
09510200,hbv_lite_cma,evaluation,0.65201,0.053933,0.91791,-0.056582,8032.594228,13,explicit_euler_dt1,hbv,success,,28.67,0.7616
09512280,hbv_lite_cma,evaluation,0.547354,-1.70601,2.680726,0.460504,,13,explicit_euler_dt1,hbv,success,,22.26,0.4778
09513780,hbv_lite_cma,evaluation,0.491973,-0.130481,0.972286,-0.061801,,13,explicit_euler_dt1,hbv,success,,28.32,0.5616
10234500,hbv_lite_cma,evaluation,0.735367,0.731188,-0.219036,-0.117486,-0.71312,13,explicit_euler_dt1,hbv,success,,49.44,0.9061
10244950,hbv_lite_cma,evaluation,0.700204,0.835888,-0.039376,-0.103799,-0.126495,13,explicit_euler_dt1,hbv,success,,56.64,0.8508
10259000,hbv_lite_cma,evaluation,0.49074,0.653554,-0.236743,-0.132629,-0.455063,13,explicit_euler_dt1,hbv,success,,29.83,0.9088
10336645,hbv_lite_cma,evaluation,0.685319,0.754267,-0.165557,-0.257914,0.545061,13,explicit_euler_dt1,hbv,success,,38.92,0.6988
10336660,hbv_lite_cma,evaluation,0.728395,0.524717,-0.35381,-0.383057,0.118822,13,explicit_euler_dt1,hbv,success,,59.7,0.6907
10343500,hbv_lite_cma,evaluation,0.62595,0.651288,-0.122237,-0.157876,-0.392055,13,explicit_euler_dt1,hbv,success,,36.19,0.8388
11124500,hbv_lite_cma,evaluation,0.420299,0.497868,0.390392,-0.370228,,13,explicit_euler_dt1,hbv,success,,30.13,0.6052
11141280,hbv_lite_cma,evaluation,0.462862,0.729409,0.002589,-0.283793,2.845715,13,explicit_euler_dt1,hbv,success,,24.51,0.712
11143000,hbv_lite_cma,evaluation,0.849054,0.868105,-0.062939,-0.062725,-0.34565,13,explicit_euler_dt1,hbv,success,,24.62,0.791
11148900,hbv_lite_cma,evaluation,0.738964,0.699204,-0.004538,-0.065211,,13,explicit_euler_dt1,hbv,success,,20.65,0.7232
11151300,hbv_lite_cma,evaluation,0.342636,0.236148,-0.400943,-0.382115,-0.722794,13,explicit_euler_dt1,hbv,success,,23.21,0.1617
11176400,hbv_lite_cma,evaluation,0.606857,0.541253,0.013612,-0.299534,,13,explicit_euler_dt1,hbv,success,,27.71,0.5684
11230500,hbv_lite_cma,evaluation,0.61861,0.452341,-0.337827,-0.429858,0.497939,13,explicit_euler_dt1,hbv,success,,64.58,0.5535
11237500,hbv_lite_cma,evaluation,0.652345,0.719949,0.081332,-0.154354,4.479205,13,explicit_euler_dt1,hbv,success,,69.7,0.8112
11264500,hbv_lite_cma,evaluation,0.734904,0.856102,-0.031217,-0.095715,1.706857,13,explicit_euler_dt1,hbv,success,,51.22,0.8139
11266500,hbv_lite_cma,evaluation,0.731412,0.851927,0.030959,-0.058436,1.876526,13,explicit_euler_dt1,hbv,success,,70.26,0.8298
11284400,hbv_lite_cma,evaluation,0.618797,0.471252,0.472348,-0.104498,,13,explicit_euler_dt1,hbv,success,,26.57,0.6934
11381500,hbv_lite_cma,evaluation,0.768091,0.820817,0.130398,0.03071,0.210427,13,explicit_euler_dt1,hbv,success,,29.03,0.777
11451100,hbv_lite_cma,evaluation,0.616173,0.695725,-0.110342,-0.208162,1.301999,13,explicit_euler_dt1,hbv,success,,28.19,0.7474
11468500,hbv_lite_cma,evaluation,0.799264,0.711988,0.238057,0.012725,12.154044,13,explicit_euler_dt1,hbv,success,,28.56,0.8257
