old_process_id,new_process_id,transition_label,event_count,successful_event_count,response_fraction,exact_interval_lower,exact_interval_upper,median_response_start_day,maximum_response_start_day,criterion_passed
lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,16,11,0.6875,0.4133793635486414,0.8898300452828823,10.0,20,False
lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,16,16,1.0,0.7940927857921773,1.0,5.5,14,True
lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,16,16,1.0,0.7940927857921773,1.0,10.0,20,True
