basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse,p_parTT,p_parCFMAX,p_parCFR,p_parCWH,p_parFC,p_parBETA,p_parLP,p_parK0,p_parK1,p_parUZL,p_parPERC,p_parK2,p_lag_time,state_SNOWPACK,state_MELTWATER,state_SM,state_SUZ,state_SLZ,state_init_mode
01022500,hbv_lite_cma,evaluation,0.718417,0.77034,0.144895,-0.061194,1.341481,13,explicit_euler_dt1,hbv,success,,30.6,0.803,-2.499999999886745,1.2277231842599894,0.0117813496960806,2.4035371787331785e-10,427.3276699053724,5.999995435664593,0.5850207847214055,0.1201558220773476,0.2303171036900843,130.2199638643527,5.238231096848383,0.0472820324665663,1.017697039810976,0.0,0.0,417.9217235100727,16.572446231760427,43.557442577804586,cal_final_2008-09-30
01031500,hbv_lite_cma,evaluation,0.726852,0.730014,0.225385,-0.020953,3.464165,13,explicit_euler_dt1,hbv,success,,30.93,0.677,-2.4999999999879043,1.707399766772154,0.080281083023366,2.779277012319044e-13,357.210137196152,5.999999999953464,0.5666858373052404,0.2533194976832704,0.3601058665884351,118.06077017355932,5.816840742909536,0.0746308078759601,1.0041633145428612,0.0,0.0,340.2621811905557,0.0,28.38479374827353,cal_final_2008-09-30
01047000,hbv_lite_cma,evaluation,0.712267,0.784223,0.096558,-0.084433,1.662606,13,explicit_euler_dt1,hbv,success,,30.43,0.6686,-2.4999999999555387,1.5303739631395783,0.0451747851789055,5.000070825901929e-12,165.32728621448194,2.344958639524968,0.2000000057960407,0.9655178406050308,0.3356615866527869,144.68157496205333,3.806553577589416,0.0483352870321302,1.876550014033108,0.0,0.0,150.82915553780987,3.787896667067449,35.51252511779595,cal_final_2008-09-30
01052500,hbv_lite_cma,evaluation,0.733254,0.848183,0.03962,-0.106685,1.189298,13,explicit_euler_dt1,hbv,success,,31.21,0.77,-0.7800000988637545,3.1135507817816976,0.0069642555853463,4.3607022326916385e-10,347.2055844596387,4.856555580608108,0.7002656515699137,0.5238730918893466,0.3786094431365369,3.897932277744785e-06,8.2722295241232,0.1141780487954281,1.2302754101578728,0.0,0.0,321.76123502855125,0.0,17.44924288352987,cal_final_2008-09-30
01054200,hbv_lite_cma,evaluation,0.580771,0.639749,0.140804,-0.140908,3.412385,13,explicit_euler_dt1,hbv,success,,30.68,0.4938,-1.0642959572026205,2.024052762853418,0.0338806144943701,8.273634189712071e-07,259.86351340019394,1.0000097524848324,0.3564062526075532,0.989999648493722,0.3690371214708574,8.102026646132156e-05,9.588540791939616,0.0863411095722881,1.3901769539641096,0.0,0.0,195.3459000107948,0.0,30.82901241321969,cal_final_2008-09-30
01055000,hbv_lite_cma,evaluation,0.528227,0.610365,0.116279,-0.130015,2.946711,13,explicit_euler_dt1,hbv,success,,31.03,0.5482,-2.4999999999999685,1.9911184019628885,0.0221509621215362,3.881142529691825e-15,102.75639153546754,1.0000000000026483,0.2000000000004871,0.7144932390018071,0.4999999999999969,198.6547486419214,5.526771958241469,0.0525325611542347,1.8726390276278615,0.0,0.0,77.99074623926165,0.0,42.61921013837914,cal_final_2008-09-30
01057000,hbv_lite_cma,evaluation,0.670524,0.56633,0.376193,-0.017494,6.218152,13,explicit_euler_dt1,hbv,success,,30.42,0.6291,-1.9808401258395123,1.8604887571882305,0.0209078564031211,1.565791429634049e-08,467.0918056858316,5.079850577468707,0.3416049135159643,0.4367726839771385,0.3620796583689201,44.75156249390575,7.785032301155732,0.04722397762939,1.969309062981886,0.0,0.0,453.1191955622283,5.354441694717425,64.8230261947848,cal_final_2008-09-30
01073000,hbv_lite_cma,evaluation,0.683285,0.667504,0.280058,-0.048298,5.160055,13,explicit_euler_dt1,hbv,success,,30.27,0.6752,-0.6301113082181644,2.23645737575369,0.0999868227995065,0.0213563073188349,784.3760091194501,5.952099159617321,0.4516643126713249,0.9899975406730972,0.4995257448275634,1.4053633223211504e-05,18.997351910495,0.1019647108041759,1.7888236490153129,0.0,0.0,764.2625827131734,0.0,49.22479424510964,cal_final_2008-09-30
01078000,hbv_lite_cma,evaluation,0.739518,0.736629,0.227877,-0.036308,3.163867,13,explicit_euler_dt1,hbv,success,,30.24,0.7158,-1.3900037248325825,1.884104553789953,0.0989615495017744,7.796999204722599e-08,201.45835657728185,1.0000299504729349,0.2000008749918172,0.6843547972762717,0.2589285250190974,29.325471284521665,4.741852649275319,0.0648058569338077,1.6614863176446717,0.0,0.0,133.20272792578015,0.0,30.41632015001471,cal_final_2008-09-30
01123000,hbv_lite_cma,evaluation,0.480794,0.501848,0.459045,0.022159,3.478568,13,explicit_euler_dt1,hbv,success,,30.25,0.5696,-1.609999138186917,1.5859679977350083,5.074725312568232e-05,3.871491079453593e-09,845.4847662486736,5.999999898185727,0.2370671730478172,0.5509988136529501,0.3282010354958305,7.404514569497752e-09,13.273632244195548,0.0464913780820326,1.1266457010696538,0.0,0.0,804.9144512946024,0.0,68.37633797148595,cal_final_2008-09-30
