basin_id,run_status,error_message,nse_calibration_table,fc_member1,fc_member2,fc_member3,fc_clipped_any,sigma_obs,obs_median,footprint_12,footprint_23,footprint_13,r_12,r_23,r_13,r_min,t_lik_days,predicted_identifiable,slz_sigma,clip_count_seed0,clip_count_seed1,min_slz_seed0,min_slz_seed1,feasible_zero_clipping,n_forcing_days,_elapsed_s
01022500,success,,0.718417,427.3276699053724,213.6638349526862,854.6553398107447,False,0.1352113319386332,1.352113319386332,1.1818542713780649,3.1001635421415616,1.92136471412001,8.740793056564664,22.92828195456722,14.210086437074947,8.740793056564664,0.07707807818380001,True,0.02,0,0,1.748689790009322,2.2105038255602087,True,1260,0.35
01031500,success,,0.726852,357.210137196152,178.605068598076,714.420274392304,False,0.09114503608347962,0.9114503608347962,0.9871313892176098,2.487234643127338,1.5006003262298946,10.830336260040507,27.28875592137879,16.463873302496655,10.830336260040507,0.05020519664268814,True,0.02,0,0,0.18630601757012197,0.16705066829731816,True,1260,0.35
01047000,success,,0.712267,165.32728621448194,82.66364310724097,330.6545724289639,False,0.10495809041909582,1.049580904190958,0.44996752558688047,1.2239776137422378,0.7740100881553574,4.287116160270904,11.661584246196902,7.374468085925999,4.287116160270904,0.3204070416695308,True,0.02,0,0,1.717911709395499,1.6773457503473013,True,1260,0.35
01052500,success,,0.733254,347.2055844596387,173.60279222981936,694.4111689192774,False,0.11346329008389351,1.134632900838935,0.9574887140138715,2.3119912939696823,1.3545025799558101,8.438753303433337,20.376557847566566,11.937804544133224,8.438753303433337,0.08269437554649715,True,0.02,0,0,0.0017405412923622821,0.0013574716071977845,True,1260,0.35
01054200,success,,0.580771,259.86351340019394,129.93175670009697,519.7270268003879,False,0.13180655321029952,1.318065532102995,0.6531920029492219,1.4870616243871515,0.8338696214379294,4.955686853498424,11.282152428449596,6.326465574951169,4.955686853498424,0.23978656284584354,True,0.02,0,0,0.14688307605325532,0.1028589151981496,True,1260,0.35
01055000,success,,0.528227,102.75639153546754,51.37819576773377,205.5127830709351,False,0.10395902489626557,1.0395902489626556,0.2696108201253485,0.7033548881282949,0.43374406800294657,2.593433522432293,6.765693395355817,4.172259872923525,2.593433522432293,0.8755527444482364,True,0.02,0,0,1.2963314554635146,1.5839435521433807,True,1260,0.35
01057000,success,,0.670524,467.0918056858316,233.5459028429158,934.1836113716632,False,0.08329614498219151,0.832961449821915,1.2845886335282988,3.0529610966128207,1.7683724630845221,15.421945803169406,36.651889439367636,21.229943636198232,15.421945803169406,0.024760203452450592,True,0.02,0,0,1.0174832901976945,0.8383735966276742,True,1260,0.05
01073000,success,,0.683285,784.3760091194501,392.1880045597251,1568.7520182389003,False,0.10943258785942495,1.0943258785942493,2.1547282012955487,4.175457877093583,2.028699900927282,19.690004992511664,38.155525321737784,18.53835261150282,18.53835261150282,0.01713524337304641,True,0.02,0,0,0.03281511838127223,0.03322199025943431,True,1260,0.05
01078000,success,,0.739518,201.45835657728185,100.72917828864092,402.9167131545637,False,0.09458221702778029,0.9458221702778028,0.5044550949300401,1.1970786963321858,0.6926236014021457,5.33350888552204,12.656488015929938,7.3229791304079,5.33350888552204,0.20701723712494036,True,0.02,0,0,1.029940742571757,0.9356197737845053,True,1260,0.05
01123000,success,,0.480794,845.4847662486736,422.7423831243368,1690.9695324973472,False,0.1445646756583173,1.445646756583173,2.3253512537001524,5.092799624384236,2.7713420387042556,16.08519676823532,35.22852039194701,19.170257368089015,16.08519676823532,0.022760395174390238,True,0.02,0,0,0.41155977946136924,0.3642147812697542,True,1260,0.05
01134500,success,,0.657638,121.73265415842174,60.86632707921087,243.46530831684348,False,0.11033710859427048,1.1033710859427048,0.32505323211753223,0.8610729134520938,0.5360196813345616,2.946000998746594,7.804019195558357,4.858018196811763,2.946000998746594,0.6785264387240746,True,0.02,0,0,0.1887807071417628,0.15733737728057334,True,1260,0.05
01137500,success,,0.305519,404.26982514601656,202.13491257300828,808.5396502920331,False,0.1338109822795887,1.338109822795887,0.7017510604391318,1.2356088537885666,0.5338577933494347,5.244345781520922,9.233986872668254,3.989641091147333,3.989641091147333,0.36996862677355796,True,0.02,0,0,3404.653496090089,2796.033615333214,True,1260,0.05
01139000,success,,0.535318,159.5792429001906,79.7896214500953,319.1584858003812,False,0.11422035480859011,1.142203548085901,0.2582420007738956,0.5960635069175177,0.33782150614362205,2.2609105111488774,5.218540144761395,2.957629633612517,2.2609105111488774,1.1520353570709,True,0.02,0,0,2146.1546368331624,799.986112863385,True,1260,0.06
01139800,success,,0.500328,374.8673437531317,187.43367187656585,749.7346875062634,False,0.12876842105263162,1.287684210526316,0.9519883394149027,1.7172317983133236,0.7652434588984208,7.393026423969241,13.335814668500426,5.942788244531183,5.942788244531183,0.1667447015888644,True,0.02,0,0,588.9122828058926,1463.321993570243,True,1260,0.05
01142500,success,,0.445384,245.9223947372865,122.96119736864325,491.844789474573,False,0.11314445661433614,1.1314445661433614,0.5512393141092126,1.1596213411318959,0.6083820270226833,4.871995770753182,10.249033632152017,5.377037861398835,4.871995770753182,0.24809542103322937,True,0.02,0,0,1142.9237525035855,1695.3443063398154,True,1260,0.05
01144000,success,,0.564032,382.1662712076677,191.08313560383385,764.3325424153354,False,0.11206385735990705,1.1206385735990705,1.054465297932943,2.8374878533632937,1.7830225554303505,9.409503855880994,25.320276494234424,15.910772638353427,9.409503855880994,0.06651186182389714,True,0.02,0,0,1.0888642326507572,1.013095058615609,True,1260,0.05
01162500,success,,0.636235,373.0309762701633,186.51548813508165,746.0619525403266,False,0.11320016093341381,1.132001609334138,1.0399703112202594,2.899409687898747,1.876862238280598,9.187003822653459,25.613123373598626,16.580031537098247,9.187003822653459,0.06977257639879804,True,0.02,0,0,0.6540829028742005,0.6391624215109599,True,1260,0.05
01169000,success,,0.461773,109.13941487683864,54.56970743841932,218.2788297536773,False,0.133659209157128,1.3365920915712801,0.32183084003180157,0.9005575269282647,0.5934969460092928,2.4078463583714718,6.737714016170641,4.440374514797448,2.4078463583714718,1.0157223544041598,True,0.02,0,0,3.3469427839629144,3.1149091181517115,True,1260,0.05
01170100,success,,0.450072,322.6659566806576,161.3329783403288,645.3319133613152,False,0.13720534629404618,1.3720534629404617,0.9086007551631078,2.5966827889935824,1.7108306747338087,6.622196435522827,18.925521921198353,12.469125445500572,6.622196435522827,0.134285288242102,True,0.02,0,0,0.7707247489491237,0.692038993566994,True,1260,0.06
01181000,success,,0.474905,199.8173223838548,99.9086611919274,399.6346447677096,False,0.12258119096509242,1.2258119096509241,0.5831301737476176,1.619510591782495,1.069420225452464,4.757093393828065,13.21173810624572,8.724178783325772,4.757093393828065,0.2602251085909201,True,0.02,0,0,0.7024393118726229,0.7728763128043707,True,1260,0.05
01187300,success,,0.658087,773.3429405868525,386.67147029342624,1546.685881173705,False,0.11343657270029675,1.1343657270029674,2.134118740156769,4.755456571262316,2.6349338380906073,18.813321747609415,41.9217229334528,23.22825677263885,18.813321747609415,0.01663801793943654,True,0.02,0,0,0.057765434191954595,0.05661250845830014,True,1260,0.05
01195100,success,,0.570661,937.9702235830304,468.9851117915152,1875.9404471660607,False,0.12694622641509434,1.2694622641509434,2.5658589871355493,5.065678545711246,2.5031308232967024,20.212172189708035,39.904128612277674,19.71804041745877,19.71804041745877,0.015146247495560898,True,0.02,0,0,0.13889419339026676,0.1338516939334796,True,1260,0.05
01333000,success,,0.588525,301.8723046416949,150.93615232084744,603.7446092833898,False,0.12869953637660486,1.2869953637660485,0.8438060514076636,2.4102575086215348,1.5840272484675781,6.556403194324573,18.727787033890777,12.307948366125771,6.556403194324573,0.13699390571191905,True,0.02,0,0,0.2802370806883496,0.24447066182820987,True,1260,0.05
01350000,success,,0.583461,365.1293110019988,182.5646555009994,730.2586220039976,False,0.09187082659874941,0.9187082659874941,1.0177051424767214,2.8099508888566347,1.8096745922160642,11.077565971204343,30.58588882768238,19.69803319741436,11.077565971204343,0.04798923908616014,True,0.02,0,0,0.7937739184658984,0.814635113264517,True,1260,0.06
01350080,success,,0.465822,732.3646749948865,366.18233749744326,1464.729349989773,False,0.06711808206106872,0.6711808206106871,1.9870422045232146,3.574605962373369,1.5875637578501542,29.605169627988847,53.25846407710136,23.653294449112504,23.653294449112504,0.010525658555904451,True,0.02,0,0,0.14246291105532066,0.14591330666443925,True,1260,0.05
01350140,success,,0.349525,611.3300832493072,305.6650416246536,1222.6601664986144,False,0.067091407678245,0.6709140767824499,1.3095144622079544,1.8792817425891712,0.5697672803812165,19.518363193213734,28.010766320506725,8.492403127292986,8.492403127292986,0.0816528505639734,True,0.02,0,0,1243.981565519568,1876.661320888971,True,1260,0.06
01365000,success,,0.664686,416.71577634882914,208.35788817441457,833.4315526976583,False,0.1695444410967159,1.695444410967159,1.1574693426680849,3.041566226039244,1.903624438716502,6.826937734914066,17.93963993372213,11.227878816920855,6.826937734914066,0.1263515780296982,True,0.02,0,0,0.518413495447935,0.5395578797323642,True,1260,0.05
01411300,success,,0.540992,272.1398055388424,136.0699027694212,544.2796110776848,False,0.09407627332324763,0.9407627332324762,0.15683584995244595,0.2400938350053371,0.08325798505289117,1.6671137621869374,2.5521188980389424,0.8850051358520056,0.8850051358520056,7.518669105287074,False,0.02,0,0,2507.402293097047,1919.9815984897743,True,1260,0.06
01413500,success,,0.563026,685.5539863392462,342.7769931696231,1371.1079726784924,False,0.11134020278236266,1.1134020278236265,1.8880956408642406,3.933151459341774,2.0533521173264444,16.95789655202005,35.325528075693626,18.442144580427463,16.95789655202005,0.02047804961166237,True,0.02,0,0,0.16296422353840634,0.16868158531878244,True,1260,0.05
01414500,success,,0.535029,708.5317459801541,354.26587299007707,1417.0634919603083,False,0.13666035686578742,1.3666035686578741,1.9523184981197987,4.029663531333775,2.085276409983191,14.28591687373646,29.486704291949582,15.258824561910934,14.28591687373646,0.02885468360416883,True,0.02,0,0,0.17647364444414176,0.18023241859190003,True,1260,0.06
01415000,success,,0.63014,557.7953970579953,278.89769852899764,1115.5907941159905,False,0.11428704893144928,1.1428704893144928,1.5383992259870098,3.3789452655486696,1.8538916384261863,13.460836029721616,29.56542580406815,16.22136240072287,13.460836029721616,0.03250038352910589,True,0.02,0,0,0.1023851505666181,0.10555061368124298,True,1260,0.06
01423000,success,,0.712317,332.78611815327366,166.39305907663683,665.5722363065473,False,0.1072920388981947,1.072920388981947,0.9289656442650492,2.5291201506064698,1.6212618196106519,8.658290529332834,23.572300205854553,15.110737350690156,8.658290529332834,0.07855398927136938,True,0.02,0,0,0.1610466193332641,0.14881170825717774,True,1260,0.06
