old_parameter_id,new_parameter_id,transition_label,event_count,numerically_successful_event_count,numerical_response_fraction,exact_interval_lower,exact_interval_upper,median_response_start_day,maximum_response_start_day,numerical_criterion_passed
candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,16,16,1.0,0.7940927857921773,1.0,0.0,0,True
candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,16,16,1.0,0.7940927857921773,1.0,0.0,0,True
candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,16,16,1.0,0.7940927857921773,1.0,0.0,1,True
