event_id,block_index,trial_index,switch_day_index,switch_day_number,old_parameter_id,new_parameter_id,transition_label,numerical_success,response_start_day,new_candidate_top_ranked_days_in_window,new_candidate_probability_above_half_days_in_window,minimum_new_candidate_probability_in_window,maximum_new_candidate_probability_in_window,minimum_probability_margin_in_window,maximum_probability_margin_in_window,minimum_probability_in_qualifying_run,minimum_margin_in_qualifying_run
block_05_trial_2_switch_day_181,4,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,1,29,29,0.47069986093150024,1.0,-0.058600278136999584,1.0,0.9940124010178781,0.9880248020357563
block_05_trial_2_switch_day_361,4,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_05_trial_3_switch_day_181,4,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_05_trial_3_switch_day_361,4,2,360,361,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_06_trial_1_switch_day_181,5,0,180,181,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_06_trial_1_switch_day_361,5,0,360,361,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9960371911781073,1.0,0.9920743823562146,1.0,0.9993457393194938,0.9986914786389876
block_06_trial_2_switch_day_181,5,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9507502837796081,1.0,0.9015005675592161,1.0,0.9507502837796081,0.9015005675592161
block_06_trial_2_switch_day_361,5,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_06_trial_3_switch_day_181,5,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_06_trial_3_switch_day_361,5,2,360,361,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
