block_id,trial_index,day_number,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_high
formal_joint_block_01,0,1,0.3333333333452438,0.3333333333434955,0.33333333331126075
formal_joint_block_01,0,2,0.17620096042876973,0.21508729382151046,0.6087117457497199
formal_joint_block_01,0,3,0.0005281244051127763,0.00315482917906939,0.9963170464158179
formal_joint_block_01,0,4,0.010568299463392385,0.014141872125925877,0.9752898284106818
formal_joint_block_01,0,5,0.015005489544801352,0.01651225484228191,0.9684822556129168
formal_joint_block_01,0,6,0.021574860864760355,0.024345854909813048,0.9540792842254266
formal_joint_block_01,0,7,0.032572129963757426,0.035381130482519556,0.932046739553723
formal_joint_block_01,0,8,0.053137860438658605,0.0559345208412357,0.8909276187201056
formal_joint_block_01,0,9,0.03832672508157581,0.04242245077907954,0.9192508241393447
formal_joint_block_01,0,10,0.023397128119748326,0.02764602985223671,0.948956842028015
formal_joint_block_01,0,11,0.0442759514342158,0.049523822157375365,0.9062002264084088
formal_joint_block_01,0,12,0.0618694378200746,0.06709068577791774,0.8710398764020075
formal_joint_block_01,0,13,0.09488315467017579,0.09926635462545089,0.8058504907043734
formal_joint_block_01,0,14,0.13400412521383873,0.1354029405396789,0.7305929342464823
formal_joint_block_01,0,15,0.18163817628103845,0.17552087619385617,0.6428409475251055
formal_joint_block_01,0,16,0.17292794906411996,0.1783204203484509,0.6487516305874291
formal_joint_block_01,0,17,0.25048775107425697,0.24025282924227834,0.5092594196834648
formal_joint_block_01,0,18,0.19940981480425032,0.1975082905836939,0.6030818946120559
formal_joint_block_01,0,19,0.2599689427385513,0.25650050696255144,0.48353055029889735
formal_joint_block_01,0,20,0.3370287847799108,0.3051581208738861,0.35781309434620306
formal_joint_block_01,0,21,0.4106824217006365,0.33738846757327323,0.25192911072609014
formal_joint_block_01,0,22,0.2921304447195368,0.32843892127542756,0.3794306340050356
formal_joint_block_01,0,23,0.0008266575452136078,0.008574438250298333,0.990598904204488
formal_joint_block_01,0,24,0.010570173363235664,0.020562879282238614,0.9688669473545258
formal_joint_block_01,0,25,0.012170193294881601,0.01372830622994153,0.974101500475177
formal_joint_block_01,0,26,0.023632787755125707,0.026767359199239154,0.9495998530456352
formal_joint_block_01,0,27,0.030664875790340693,0.034201285068288546,0.9351338391413707
formal_joint_block_01,0,28,0.03788040554101117,0.04127608017488198,0.9208435142841068
formal_joint_block_01,0,29,0.0504044014887179,0.053951432608187765,0.8956441659030943
formal_joint_block_01,0,30,0.05570163219834964,0.059413777480082135,0.8848845903215682
formal_joint_block_01,0,31,0.0912213643262478,0.09300859474120764,0.8157700409325447
formal_joint_block_01,0,32,0.03879235782913942,0.04587376020302967,0.9153338819678307
formal_joint_block_01,0,33,0.02193193456616454,0.02823312362355605,0.9498349418102793
formal_joint_block_01,0,34,0.021645861353433826,0.025708819149822267,0.9526453194967438
formal_joint_block_01,0,35,0.037788574387443846,0.04341871277699527,0.9187927128355609
formal_joint_block_01,0,36,0.061138921281644956,0.0677858975211174,0.8710751811972377
formal_joint_block_01,0,37,0.09023280645709829,0.0967865947881463,0.8129805987547555
formal_joint_block_01,0,38,0.02556550946011209,0.03340783006523734,0.9410266604746506
formal_joint_block_01,0,39,0.016563599549822613,0.02072721016504854,0.9627091902851289
formal_joint_block_01,0,40,0.03214479760028746,0.03818176049454329,0.9296734419051693
formal_joint_block_01,0,41,0.02717215553731988,0.030792740979510243,0.94203510348317
formal_joint_block_01,0,42,0.03912174831877454,0.04267683455984962,0.9182014171213758
formal_joint_block_01,0,43,0.01667989706173864,0.019210091884378912,0.9641100110538824
formal_joint_block_01,0,44,0.03583842609521032,0.038112434977380996,0.9260491389274087
formal_joint_block_01,0,45,0.045223603614418295,0.04894036851154719,0.9058360278740344
formal_joint_block_01,0,46,0.0758243699097902,0.07907655263518913,0.8450990774550207
formal_joint_block_01,0,47,0.11194393769884033,0.11293846774024512,0.7751175945609147
formal_joint_block_01,0,48,0.14762278161306364,0.1455418488557507,0.7068353695311856
formal_joint_block_01,0,49,0.1540562964133209,0.15155792015886696,0.6943857834278122
formal_joint_block_01,0,50,0.022822003701370396,0.03902068933778217,0.9381573069608475
formal_joint_block_01,0,51,0.05119032763328004,0.07994148377895209,0.8688681885877678
formal_joint_block_01,0,52,0.0769156556590852,0.11505556530969824,0.8080287790312165
formal_joint_block_01,0,53,0.10303807494670088,0.14629441881790614,0.750667506235393
formal_joint_block_01,0,54,0.08274336040538847,0.11675871475853822,0.8004979248360734
formal_joint_block_01,0,55,0.10552091504507069,0.1453973859907287,0.7490816989642006
formal_joint_block_01,0,56,0.05178204823873774,0.07902921849183082,0.8691887332694315
formal_joint_block_01,0,57,0.035280643268071864,0.05329406523703023,0.9114252914948979
formal_joint_block_01,0,58,0.05767739971020264,0.08160932243279462,0.8607132778570027
formal_joint_block_01,0,59,0.08209236271819034,0.11039846841785662,0.8075091688639531
formal_joint_block_01,0,60,0.11496155965961119,0.14791693659366006,0.7371215037467287
formal_joint_block_01,0,61,0.1542318062923311,0.1906124970567747,0.6551556966508942
formal_joint_block_01,0,62,0.21203030273766102,0.24813136642847297,0.539838330833866
formal_joint_block_01,0,63,0.21474408438718745,0.26093114884953716,0.5243247667632753
formal_joint_block_01,0,64,0.2503144324865402,0.30912479515809654,0.4405607723553634
formal_joint_block_01,0,65,0.21707091464174275,0.3233382359346453,0.45959084942361184
formal_joint_block_01,0,66,0.29125342279787153,0.3918970482090286,0.31684952899309976
formal_joint_block_01,0,67,0.3407764111328033,0.39872098325369043,0.2605026056135063
formal_joint_block_01,0,68,0.364839669159635,0.41794212959871757,0.21721820124164748
formal_joint_block_01,0,69,0.43289398326453926,0.4298690842609178,0.137236932474543
formal_joint_block_01,0,70,0.4791042882653979,0.4260484746751903,0.09484723705941184
