basin,nse_clean,total_dep,temp_share,precip_share,imp_precip,imp_temp,imp_srad,imp_vp
01022500,0.7717729806900024,1.0718342065811155,0.4343871706286854,0.4956823886471231,0.5934229294459025,0.520041286945343,0.0210158427556356,0.0627037485440572
01031500,0.8184565305709839,1.2287159363428752,0.4909993019562654,0.4391708028883099,0.7042869528134664,0.7874029874801636,0.0398705800374349,0.072113831837972
01047000,0.791569709777832,1.225386619567871,0.5190593830552245,0.455621528764707,0.6593209902445475,0.7511206666628519,0.0109716455141702,0.025667111078898
01052500,0.8042702674865723,1.2142153183619182,0.69135152243826,0.2117752683899621,0.2988155881563822,0.9754992326100668,0.0291971961657205,0.1074912150700887
01054200,0.7428077459335327,1.1941715478897097,0.3722928792707528,0.5802489919795663,0.7476568619410197,0.4797032475471496,0.0327618916829427,0.0283884008725484
01055000,0.6875907182693481,1.141319473584493,0.4927044739786451,0.4658369984515214,0.6018182237943014,0.6365285118420919,0.0287647048632303,0.0247958699862161
01057000,0.8318978548049927,1.1172089576721191,0.4037027210745315,0.5116397074877864,0.7773745457331339,0.6133773724238077,0.0411300460497537,0.0874968767166137
01073000,0.8549127578735352,1.2537254492441814,0.2532742623671611,0.6528971784922277,0.9562464952468872,0.3709506392478943,0.0466692447662353,0.0907539725303649
01078000,0.8730841875076294,1.2656979163487752,0.4711702447209259,0.4731320043541805,0.8031235337257385,0.799793521563212,0.0402319033940633,0.0543129046758016
01123000,0.739545464515686,1.427536646525065,0.3733898982483791,0.5872959420479814,1.0561845302581787,0.6714989940325419,0.0095446904500325,0.0611573259035745
01134500,0.7581223845481873,1.0427232782046,0.5970738582756762,0.3273147584437237,0.4372058709462483,0.7975326180458069,0.0500853657722473,0.0509114265441894
01137500,0.6937577128410339,1.1431970794995625,0.4649923180058103,0.4921667338648444,0.6268628040949503,0.5922513008117676,0.0395476420720418,0.0150180061658223
01139000,0.7403335571289062,1.092072168986003,0.5545880795290116,0.4113712348150167,0.5584561228752136,0.7528798381487528,-0.0036259094874063,0.0462118585904439
01139800,0.697318434715271,1.047381083170573,0.6564731239171645,0.2958261794963931,0.353798230489095,0.7851199309031168,0.0555773973464965,0.0014710426330566
01142500,0.7374995350837708,1.0522970954577129,0.5797597325632237,0.3164862946666702,0.4236704111099243,0.7761064171791077,0.0500974059104919,0.0887948274612426
01144000,0.8270202875137329,1.295929749806722,0.5164678297951616,0.3804234321945766,0.5923398733139038,0.8041683634122213,0.0618678927421569,0.0986779928207397
01162500,0.789374053478241,1.0870988567670186,0.3899441955579176,0.4997559152258757,0.7239738901456197,0.5648945967356364,0.0636266469955444,0.096159835656484
01169000,0.7350849509239197,1.295532206694285,0.4593947221685059,0.4373945786480561,0.8197340369224548,0.8609651525815328,0.0950657725334167,0.0983644326527913
01170100,0.7344222664833069,1.25217737754186,0.4989931985494085,0.4078170775472669,0.7333693106969198,0.8973295092582703,0.0998891194661458,0.0676921010017395
01181000,0.743588924407959,1.2067655324935913,0.4164485322442431,0.4979786348060803,0.8571548461914062,0.7168196638425192,0.1174169381459554,0.0298768679300943
01187300,0.742300271987915,1.0845224062601726,0.3157197399147085,0.6334960711800558,0.8070873419443766,0.4022336006164551,0.0526106357574462,0.0120894908905029
01195100,0.5549945831298828,0.9567148685455322,0.1596333576780275,0.8015859185797833,0.7660577297210693,0.1525580286979675,0.0138972004254659,0.023164669672648
04296000,0.8099368810653687,1.1205623547236123,0.5874002042764247,0.3049567822699923,0.4463079174359639,0.8596672614415487,0.0501980384190877,0.107338805993398
01333000,0.7655404210090637,1.2152088284492493,0.4503443377574517,0.4911214246115997,0.7729760805765787,0.708797017733256,0.0618026852607727,0.0303243597348531
01350000,0.7128392457962036,1.1242653926213582,0.3100748980861685,0.6403222393921008,0.7508398294448853,0.3635928432146708,0.0328215559323629,0.0253426035245259
01350080,0.657868504524231,0.9717779954274496,0.4368682733355521,0.5046888658650912,0.5933974385261536,0.5136560996373495,0.0284404754638671,0.0402748187383016
01350140,0.5545390248298645,0.97017369667689,0.5704430036114128,0.3554371197081387,0.5064452886581421,0.8127968509991963,0.0583908756573994,0.0472189784049987
01365000,0.7653209567070007,1.25789870818456,0.3470080829935846,0.5970343744645542,0.8603873054186503,0.5000739693641663,0.0281480153401693,0.0524924993515014
01411300,0.7385438680648804,1.0571344296137493,0.1017702367583978,0.8681872995193674,0.8788060744603475,0.1030149857203165,0.0207135279973348,0.0096963842709859
