basin,frac_snow,nse_clean,D_nse,temp_share,precip_share
01022500,0.245259009248271,0.7718266248703003,0.4105430245399475,0.37362217923864105,0.4093560623028847
01055000,0.306048851694867,0.6876212358474731,0.4649078845977783,0.45371761015280215,0.3289224318002038
01134500,0.280582089228151,0.7580877542495728,0.7185679078102112,0.40463971209199356,0.3807413687302124
01144000,0.248466348504845,0.8269900679588318,0.5763313174247742,0.4522193281321436,0.3304869157193854
01187300,0.201269335695146,0.7423389554023743,0.36408287286758423,0.4102471080252079,0.3690576751407405
01350080,0.221156578322867,0.6578410863876343,0.36378878355026245,0.38887008873570716,0.407644062468287
01414500,0.216628505016047,0.7068052291870117,0.4149523377418518,0.4013492869588195,0.39123189183684143
01439500,0.163765228832016,0.7954329252243042,0.6061710715293884,0.3424853738305116,0.4273066206109033
01484100,0.042571686471381,0.6409103870391846,0.352261483669281,0.2693586673966306,0.5174832239395901
01518862,0.201111344911574,0.6199761629104614,0.3884890675544739,0.3786540899551088,0.40975491932223923
01543500,0.181653610941671,0.7863365411758423,0.4570664167404175,0.3919191519577594,0.40048734450064216
01549500,0.186519052942025,0.6990604400634766,0.3666646480560303,0.3488538784834195,0.4608228547197363
01567500,0.126036065938383,0.47681063413619995,0.4486227035522461,0.33683370985273237,0.442465098379746
01591400,0.0838764227317032,0.6062304377555847,0.47360408306121826,0.35118415370069916,0.449061575770107
01632000,0.110024870103334,0.585631787776947,0.45591360330581665,0.3610060031413022,0.42553731454971827
01644000,0.084351798741144,0.7578597664833069,0.4343150854110718,0.31041760797647455,0.4646493973020513
01669520,0.0368199149910729,0.825855553150177,0.34975767135620117,0.19880534904030955,0.5817644582726021
02016000,0.102077363429123,0.8131596446037292,0.3834320306777954,0.33561327798400387,0.44461389429548126
02028500,0.0802569579048301,0.6822072863578796,0.39171427488327026,0.34414429243814126,0.413779939134744
02053800,0.0938172550300136,0.7051995992660522,0.5600008964538574,0.3614963472240593,0.4119294345062771
02065500,0.0617139970732649,0.4927266836166382,0.5434231758117676,0.30489284117633997,0.44300808106286066
02081500,0.0436247713972968,0.766128420829773,0.3814091086387634,0.2844835132405769,0.4788419307906485
02108000,0.0092819261110396,0.9020463228225708,0.15072858333587646,0.2567177545169186,0.4763517388802661
02118500,0.0413708350211441,0.6820598840713501,0.36533457040786743,0.3023538414920413,0.45680757304062924
02143000,0.0313262156816952,0.6927891969680786,0.2622583508491516,0.31333799790690975,0.4332622676084789
02178400,0.033836252850455,0.7935663461685181,0.1810133457183838,0.34442909569321256,0.4036163687691399
02212600,0.0090237999831922,0.7667526006698608,0.20764756202697754,0.34587227197704673,0.4027571459080068
02245500,0.0004366285424588,0.44349753856658936,0.26026779413223267,0.2365465037016566,0.5466009313046287
02298123,0.0,0.4975851774215698,0.46297866106033325,0.24210776259068084,0.5228348421414535
02349900,0.0010817469729248,0.6480823159217834,0.217157781124115,0.32075257691143,0.44551275535044177
02371500,0.0040171402581935,0.8794282674789429,0.17839980125427246,0.27573275601196906,0.4666260449075599
02395120,0.0124894104226604,0.7256239652633667,0.29960763454437256,0.33247647703790056,0.44272476889619405
02464000,0.011217518412828,0.7916156649589539,0.22490757703781128,0.2838630826529917,0.4788878147321074
02472500,0.002454389871356,0.8317511677742004,0.20223897695541382,0.27021014545817074,0.4453184207902754
02481510,0.0007622545076852,0.7954458594322205,0.13937276601791382,0.2849177942596222,0.4685008406053431
04043050,0.299401075000363,0.6778337955474854,0.6621924638748169,0.5014647372778235,0.2933032295405925
04063700,0.211966109984869,0.7417138814926147,0.7554631233215332,0.317172359018622,0.490760783863985
04122500,0.184317913063151,0.776170015335083,0.9944814443588257,0.2508560647717702,0.573553768751811
04196800,0.099311648741759,0.7980222702026367,0.6073379516601562,0.2500406697682807,0.5574680465879084
04216418,0.225393876789264,0.7471075654029846,0.5945143103599548,0.3732127212258104,0.4135267211625276
03010655,0.207261759338099,0.7471541166305542,0.4733009934425354,0.38104410755471324,0.3995662273469315
03028000,0.203474312123818,0.7090960741043091,0.46381711959838867,0.39009596396531454,0.4097781646342685
03070500,0.144725592442485,0.7867332100868225,0.4136515259742737,0.36737165755505596,0.42391403954750245
03170000,0.0945585836238721,0.7457536458969116,0.5688561201095581,0.33793662692212967,0.44447970953307353
03237280,0.0847306381238598,0.3923078179359436,0.854131281375885,0.3171674960402193,0.4691873762439572
03281500,0.044067880842997,0.8705272674560547,0.3194751739501953,0.2822398921677431,0.4793136129710692
03346000,0.0621069652969445,0.8350773453712463,0.322845458984375,0.25120432400953013,0.5206622503664142
03439000,0.0374660918206049,0.8370022773742676,0.15597331523895264,0.3500063030958962,0.3892847369764203
03471500,0.0838711696088708,0.7164819240570068,0.7218083143234253,0.3319292378391533,0.43486659311160314
03500000,0.0292489179120406,0.8705183267593384,0.21384024620056152,0.32093902313209655,0.41558163426893674
03604000,0.0255990760932844,0.7960313558578491,0.15847909450531006,0.31503991453334707,0.4469102132106733
05408000,0.140156645371,0.6371655464172363,1.0948882102966309,0.3058246232839494,0.4983717632438864
05458000,0.122540965691067,0.6018116474151611,0.6118590831756592,0.32827853473263197,0.4546066457798154
05495000,0.0965623589589288,0.7556233406066895,0.31050628423690796,0.2533429505569724,0.5428154995375406
05508805,0.075793058486455,0.7152848243713379,0.34527188539505005,0.2689643736999376,0.5169888907863057
05592050,0.0740889287495313,0.717052161693573,0.38139355182647705,0.26082720399081427,0.525261378950707
07291000,0.003569389743915,0.5408379435539246,0.47523295879364014,0.3171794065389846,0.4654259072296332
08013000,0.0032863361803717,0.7578470706939697,0.22023743391036987,0.22779855662416795,0.547391118893876
06224000,0.693901350936104,0.879996657371521,0.38353925943374634,0.4337448825870501,0.37117846449969294
06311000,0.57382796016244,0.6687827706336975,0.5971969366073608,0.42726639986079695,0.43179759659353856
06352000,0.168403955596369,0.33599603176116943,1.5565463304519653,0.3217886549964657,0.5223012330367773
06440200,0.140805850137048,0.41887104511260986,0.5351425409317017,0.2795569928843056,0.5489809709341286
06601000,0.105879368005318,0.5568722486495972,0.44231510162353516,0.3070887881898998,0.4868935264351144
