basin,bias_rel,phantom_low,double_frac_low,nse_clean_npz,peak_mag_rel,peak_timing_abs,nse_clean,frac_snow,aridity,p_mean,runoff_ratio,q_mean,regime
01022500,0.046691114864590405,0.05454591632958533,0.05018248175182482,0.7718266248703003,-0.1026767715811729,0.0,0.7717729806900024,0.245259009248271,0.587356423405076,3.60812594113621,0.602268929482991,2.17306214800791,snow
01031500,0.27175210060532073,0.13151697521221062,0.2937956204379562,0.818418562412262,0.1329122483730316,0.0,0.8184565305709839,0.291836473001958,0.587950340389816,3.5229568788501,0.576289279160751,2.03024228022694,snow
01047000,0.1384027617471512,0.05167582290705913,0.04744525547445255,0.7915604114532471,-0.0800100341439247,0.0,0.791569709777832,0.280118126940736,0.628929335570973,3.32314579055441,0.65686843497944,2.18286957464999,snow
01052500,0.10690609265565522,0.05202210081914175,0.055656934306569344,0.8042401075363159,-0.2674044370651245,0.0,0.8042702674865723,0.352698254049326,0.561914458543945,3.73085831622177,0.644651819954492,2.40510460354471,snow
01054200,0.1465674822151893,0.04517695591308682,0.0036496350364963502,0.7428289651870728,0.0154551435261964,0.0,0.7428077459335327,0.299641539662879,0.523306104932953,4.06713210130048,0.671662858004331,2.73174157104064,snow
01055000,0.1974034482119198,0.06538454144032982,0.016423357664233577,0.6876212358474731,0.1583566069602966,0.0,0.6875907182693481,0.306048851694867,0.599062793707035,3.49418343600274,0.652483626799972,2.27989748102746,snow
01057000,0.07538484836126996,0.04949957743791152,0.020985401459854013,0.8319109082221985,-0.275359183549881,0.0,0.8318978548049927,0.251157672769098,0.597323619284961,3.57049965776865,0.510727007805829,1.82355060658392,snow
01073000,0.01636771139871347,0.01337420315416403,0.0,0.8549125790596008,-0.2362244054675102,0.0,0.8549127578735352,0.17503243505174,0.63020261356176,3.50302532511978,0.486206602514752,1.70319404184962,humid
01078000,0.17690876742469328,0.06445500931225967,0.012773722627737226,0.8730838298797607,-0.0874395444989204,0.0,0.8730841875076294,0.23971852199071,0.613026372714384,3.56288843258042,0.492803378546533,1.75580345695999,snow
01123000,0.14267314924287225,0.061537080935901656,0.002737226277372263,0.7394248247146606,0.1511952355504036,0.0,0.739545464515686,0.136053399026134,0.603082478614581,3.82424229979466,0.45429529711326,1.73733529181831,humid
01134500,0.25531334347994794,0.0959130497716883,0.04562043795620438,0.7580877542495728,0.0496696103364229,0.0,0.7581223845481873,0.280582089228151,0.603244622366455,3.46741273100616,0.599172754886935,2.07757923836699,snow
