basin,D_exact_moment,nse_clean,nse_adv,D_lp_exp2,D_stat_exp2,whole_mean_abs_max,whole_std_rel_max,max_abs_delta,eps_excess_max,eps_excess_frac,physical_excess_max,physical_excess_frac_max
01052500,0.5483751893043518,0.8042401075363159,0.2558649182319641,0.6060085296630859,0.5136989951133728,5.960464477539063e-08,1.121325610142776e-07,0.1607356071472168,0.06073560565710068,0.41086456179618835,0.23520755767822266,0.18158632516860962
01078000,0.43549978733062744,0.8730838298797607,0.4375840425491333,0.6221599578857422,0.37506622076034546,1.4901161193847656e-08,6.582449429970438e-08,0.1422622799873352,0.042262278497219086,0.34950268268585205,0.29395174980163574,0.26141291856765747
01139800,0.4485986828804016,0.6973127126693726,0.24871402978897095,0.5385315418243408,0.38915449380874634,1.7881393432617188e-07,8.912263638194418e-08,0.22092628479003906,0.12092628329992294,0.36924251914024353,0.22520709037780762,0.23361387848854065
01170100,0.4895077347755432,0.7344257831573486,0.24491804838180542,0.6043164730072021,0.43536800146102905,8.940696716308594e-08,8.104077409143429e-08,0.14525222778320312,0.045252226293087006,0.3566437065601349,0.26328301429748535,0.24840602278709412
01350000,0.3543717861175537,0.7128852605819702,0.3585134744644165,0.38387852907180786,0.32804030179977417,2.9802322387695312e-08,2.2520831066685787e-07,0.27352142333984375,0.17352142930030823,0.3747003376483917,0.10893988609313965,0.2703391909599304
01413500,0.36527806520462036,0.7205543518066406,0.35527628660202026,0.3955719470977783,0.34446632862091064,1.4901161193847656e-08,8.439165810614213e-08,0.13077831268310547,0.03077831119298935,0.4133129119873047,0.11201858520507812,0.2920173406600952
01435000,0.2619760036468506,0.7468972206115723,0.4849212169647217,0.29009097814559937,0.24419325590133667,2.9802322387695312e-08,1.0726936494620531e-07,0.1955089569091797,0.09550895541906357,0.36801835894584656,0.13174796104431152,0.2667686939239502
01466500,0.41755473613739014,0.6958576440811157,0.2783029079437256,0.47165751457214355,0.37175965309143066,2.9802322387695312e-08,6.513331385349375e-08,0.17171001434326172,0.0717100128531456,0.4195358157157898,0.22076153755187988,0.2456006109714508
01516500,0.3042152523994446,0.5690982341766357,0.26488298177719116,0.36096709966659546,0.270629346370697,5.960464477539063e-08,1.2884680700153694e-07,0.13205194473266602,0.032051943242549896,0.38092324137687683,0.98504638671875,0.2912522256374359
01543000,0.4146500825881958,0.7421097755432129,0.3274596929550171,0.46406781673431396,0.36984485387802124,2.9802322387695312e-08,0.0,0.13742601871490479,0.037426017224788666,0.3809742331504822,0.2603440284729004,0.2234123945236206
