basin,n_peaks,peak_mag_rel,peak_timing_abs,peak_shape_corr_med,n_wy,viol_adv,viol_clean,rc_adv_med,rc_clean_med,frac_snow,runoff_ratio
01022500,38,-0.10267677158117294,0.0,0.9727651495816703,10,0.0,0.0,0.6250069737434387,0.5941654443740845,0.245259009248271,0.602268929482991
01031500,38,0.13291224837303162,0.0,0.9752867529816491,10,0.0,0.0,0.836835503578186,0.6496049165725708,0.291836473001958,0.576289279160751
01047000,39,-0.08001003414392471,0.0,0.9847616680343417,10,0.0,0.0,0.7392640113830566,0.6257858276367188,0.280118126940736,0.65686843497944
01052500,39,-0.2674044370651245,0.0,0.9685372696047365,10,0.0,0.0,0.7521334886550903,0.662466287612915,0.352698254049326,0.644651819954492
01054200,56,0.01545514352619648,0.0,0.9748943548083495,10,0.0,0.0,0.8184762001037598,0.684699296951294,0.299641539662879,0.671662858004331
01055000,51,0.15835660696029663,0.0,0.9769901856341938,10,0.0,0.0,0.7837485074996948,0.6542699933052063,0.306048851694867,0.652483626799972
01057000,46,-0.275359183549881,0.0,0.9818346528634864,10,0.0,0.0,0.5992751121520996,0.5509787201881409,0.251157672769098,0.510727007805829
01073000,48,-0.23622440546751022,0.0,0.9797424016418803,10,0.0,0.0,0.4750516414642334,0.46837109327316284,0.17503243505174,0.486206602514752
01078000,39,-0.08743954449892044,0.0,0.9742363323651003,10,0.0,0.0,0.6633856296539307,0.547797441482544,0.23971852199071,0.492803378546533
01123000,58,0.1511952355504036,0.0,0.9910399046138443,10,0.0,0.0,0.567872166633606,0.4744323492050171,0.136053399026134,0.45429529711326
01134500,42,0.04966961033642292,0.0,0.9754721489397604,10,0.0,0.0,0.8501266241073608,0.6451236605644226,0.280582089228151,0.599172754886935
01137500,55,0.03488738089799881,0.0,0.9791105676928203,10,0.0,0.0,0.5713769793510437,0.4967185854911804,0.301814975818189,0.597226132140909
01139000,46,-0.25286613404750824,0.0,0.9809257429424794,10,0.0,0.0,0.4929824471473694,0.4797360599040985,0.246562671549799,0.541536747426106
01139800,38,-0.12125862017273903,0.0,0.976618656953101,10,0.0,0.0,0.6554455757141113,0.57522052526474,0.26232897318021,0.548410572565566
01142500,44,-0.16008879989385605,0.0,0.9791374693325279,10,0.0,0.0,0.6050282120704651,0.520878255367279,0.252307890542821,0.519815262322349
01144000,41,-0.06547942757606506,0.0,0.9782566210669419,10,0.0,0.0,0.643028974533081,0.524876594543457,0.248466348504845,0.543359055776503
01162500,39,-0.23836921155452728,0.0,0.9707088432085027,10,0.0,0.0,0.5197725296020508,0.49254435300827026,0.226769184680043,0.485229191630436
01169000,53,0.14718957245349884,0.0,0.9825651122367919,10,0.0,0.0,0.7648904323577881,0.6045396327972412,0.238972605896079,0.570484016884238
01170100,50,0.04786015674471855,0.0,0.9746765030475806,10,0.0,0.0,0.691729724407196,0.6107158064842224,0.234653735405934,0.557636460056619
01181000,58,0.13178157806396484,0.0,0.9806992596676214,10,0.0,0.0,0.7147624492645264,0.6031287312507629,0.217563041040592,0.563934955144295
01187300,58,-0.21246124804019928,0.0,0.9835659931883035,10,0.0,0.0,0.6022434234619141,0.5766392350196838,0.201269335695146,0.506828688234216
01195100,61,0.21904145181179047,0.0,0.9908998713601659,10,0.0,0.0,0.5015151500701904,0.46370193362236023,0.106042892091717,0.440559883929016
