basin,D_exact_moment,nse_clean,nse_adv,D_lp_exp2,D_stat_exp2,whole_mean_abs_max,whole_std_rel_max,max_abs_delta,eps_excess_max,eps_excess_frac,physical_excess_max,physical_excess_frac_max
01047000,0.3631467819213867,0.7915604114532471,0.42841362953186035,0.4280521273612976,0.3160017728805542,2.9802322387695312e-08,8.656019190311781e-08,0.1410079002380371,0.04100789874792099,0.36118337512016296,0.24860787391662598,0.2463657259941101
01073000,0.31738072633743286,0.8549125790596008,0.537531852722168,0.35831260681152344,0.2906332015991211,1.4901161193847656e-08,1.14867376055372e-07,0.2845439910888672,0.18454399704933167,0.39224687218666077,0.15931010246276855,0.3121652603149414
01139000,0.4984837770462036,0.740311861038208,0.2418280839920044,0.5803760290145874,0.4723469614982605,2.9802322387695312e-08,1.5997370894638152e-07,0.17899608612060547,0.07899608463048935,0.37179291248321533,0.16623783111572266,0.23131854832172394
01169000,0.49224358797073364,0.7350915670394897,0.2428479790687561,0.6903362274169922,0.41198331117630005,5.960464477539063e-08,1.1872432281734291e-07,0.15091335773468018,0.050913356244564056,0.3212955892086029,0.2815983295440674,0.25197654962539673
01333000,0.549008309841156,0.7655107378959656,0.21650242805480957,0.7743403911590576,0.4529457688331604,2.9802322387695312e-08,0.0,0.14508157968521118,0.04508157819509506,0.34720733761787415,0.3135864734649658,0.21015048027038574
01411300,0.21759086847305298,0.7385833263397217,0.5209924578666687,0.33685916662216187,0.1915401816368103,2.9802322387695312e-08,7.104249277745112e-08,0.42949867248535156,0.32949867844581604,0.2684009075164795,0.0,0.0
01434025,0.32726985216140747,0.7099615335464478,0.3826916813850403,0.3532811999320984,0.30496054887771606,5.960464477539063e-08,6.50393232604074e-08,0.13130474090576172,0.0313047394156456,0.404335618019104,1.14825439453125,0.27492988109588623
01451800,0.2840536832809448,0.7596362829208374,0.4755825996398926,0.30547481775283813,0.2521411180496216,2.0139850676059723e-08,1.3335611015463655e-07,0.25761985778808594,0.15761986374855042,0.34705430269241333,0.07491421699523926,0.305534303188324
01510000,0.4866286516189575,0.7765648365020752,0.2899361848831177,0.5233010053634644,0.4507196545600891,2.9802322387695312e-08,1.721010534083689e-07,0.1256677210330963,0.025667719542980194,0.42468756437301636,0.3011474609375,0.20479469001293182
01542810,0.5051168203353882,0.6761918067932129,0.1710749864578247,0.5847771167755127,0.4441012144088745,2.9802322387695312e-08,0.0,0.13949427008628845,0.03949426859617233,0.36052027344703674,0.27471184730529785,0.2244325429201126
01547700,0.49190717935562134,0.7089778780937195,0.21707069873809814,0.5982921719551086,0.4172523021697998,1.4901161193847656e-08,7.490925213460287e-08,0.1448701024055481,0.044870100915431976,0.34251466393470764,0.31209421157836914,0.2425401657819748
01552500,0.35379111766815186,0.6117779016494751,0.25798678398132324,0.38390403985977173,0.3315146565437317,1.4901161193847656e-08,1.3023070266626746e-07,0.19929122924804688,0.09929122775793076,0.35470542311668396,0.08621430397033691,0.27467483282089233
01583500,0.31762832403182983,0.6240810751914978,0.30645275115966797,0.34965837001800537,0.2545604109764099,8.752977009862661e-09,6.823493947649695e-08,0.2249126434326172,0.12491264194250107,0.3281305730342865,0.03526043891906738,0.3346085250377655
