basin,D_record,D_exp2,D_abs_diff_vs_exp2,whole_mean_abs_max,whole_std_rel_max,whole_corr_abs_max,whole_corr_abs_median,delta_abs_p50,delta_abs_p90,delta_abs_p99,rolling_mean_abs_p50,rolling_mean_abs_p90,rolling_mean_abs_p99,rolling_mean_abs_max,rolling_std_rel_p50,rolling_std_rel_p90,rolling_std_rel_p99,rolling_std_rel_max,rolling_corr_abs_p50,rolling_corr_abs_p90,rolling_corr_abs_p99,rolling_corr_abs_max
01022500,0.32549113035202026,0.3253735899925232,0.00011754035949707031,0.010787995931666534,0.006297618530205911,0.016232770027840904,0.01014810748320741,0.09514862298965454,0.10000002384185791,0.10000002384185791,0.032552058415280416,0.05626525495891218,0.0712293157307086,0.07926917026440303,0.021295979205437642,0.042541131150849336,0.05755764089546024,0.0666183582674315,0.02359701099460084,0.06912654798300112,0.10087399224900336,0.12098526182498842
01031500,0.3478161096572876,0.34786009788513184,4.398822784423828e-05,0.01597433590354648,0.005158466359811101,0.030321862458364185,0.0059789849042675355,0.08318307995796204,0.10000002384185791,0.10000002384185791,0.021603593430309383,0.03946443539526723,0.053372588444915055,0.06559185534715656,0.009868334248024802,0.03188975357195064,0.05037442622613837,0.06123442471226976,0.013271303087237354,0.04479356960200313,0.0736752420147185,0.09473153158381176
01047000,0.31609630584716797,0.3160017728805542,9.453296661376953e-05,0.014569155450029599,0.0042847374964970495,0.007211501965156741,0.0033643496053465394,0.08434689044952393,0.10000002384185791,0.10000002384185791,0.022298420703521483,0.05059634682687898,0.06899942071349534,0.07848525000391182,0.013872902217578347,0.03704157141429493,0.05281035127937083,0.06724164543994542,0.012967380993417932,0.039472834798553944,0.060920869312760535,0.08012741815617919
01052500,0.5136899948120117,0.5136989951133728,9.000301361083984e-06,0.012282913049088696,0.00698775929837892,0.014415225230586137,0.007041093093467815,0.09806419163942337,0.10000002384185791,0.10000002384185791,0.025078922165212847,0.04859208056220303,0.0702644994446525,0.08201580607780706,0.01612585363164481,0.037822061705984004,0.05649890790138624,0.0811715018809554,0.016378571763844718,0.05002415064872162,0.07451083515852047,0.09947792837036559
01054200,0.2612329125404358,0.2601056694984436,0.0011272430419921875,0.013215027797517806,0.0025477156343356832,0.013179674272369102,0.004225464079497913,0.08334457874298096,0.10000002384185791,0.10000002384185791,0.01778834481137219,0.04349904980027575,0.05280699911520438,0.06149090683018721,0.010439366133341392,0.03182708829167157,0.051639774607514066,0.07298796946072678,0.011689917857206189,0.042180234892903956,0.06994023969383528,0.08262989403638572
01055000,0.3154997229576111,0.3166731595993042,0.0011734366416931152,0.013177869908437535,0.0032243558252624217,0.011356240483565538,0.006054752742935515,0.08578282594680786,0.10000002384185791,0.10000002384185791,0.022007300276999105,0.04405942138974316,0.05457401871681214,0.06886800897342188,0.012172833763576803,0.030061055111039497,0.04595130709529562,0.0954082099264518,0.012023497107100795,0.03698532230231659,0.060202743067076216,0.08390417947479009
01057000,0.4206428527832031,0.4204598069190979,0.0001830458641052246,0.01334100925201848,0.004729699163098549,0.015157846225058745,0.0115814655195976,0.09720475971698761,0.10000002384185791,0.10000002384185791,0.026887728411842275,0.05533458121396878,0.07575420268155919,0.08163924206186222,0.019051969918477345,0.046868674467655254,0.07304342253703418,0.07844817162528087,0.019530009824685786,0.0537444316713675,0.08020389313874103,0.10318625793987449
01073000,0.2906654477119446,0.2906332015991211,3.224611282348633e-05,0.0123273456795533,0.00509658844219405,0.009315850902395617,0.008312545186094441,0.09607326984405518,0.10000002384185791,0.10000002384185791,0.024015692869822178,0.05690883687524886,0.07948206520770436,0.09112726852849679,0.017847000621929968,0.0439959260093795,0.07136566361965707,0.11504074700011395,0.014512395036006761,0.042688392417357335,0.07624319037953876,0.12098261155430665
01078000,0.37505102157592773,0.37506622076034546,1.519918441772461e-05,0.01653964450410421,0.0032974432486061072,0.025498340077711817,0.010955285795145264,0.08961713314056396,0.10000002384185791,0.10000002384185791,0.020844265432269485,0.045162441167566514,0.06625809583950928,0.07205625192986595,0.01397630595385026,0.04595954566679648,0.06810790823338267,0.08218414905679448,0.016452998191958848,0.04839341626628202,0.07916809191548793,0.09947009051486394
01123000,0.3173617124557495,0.3171376585960388,0.00022405385971069336,0.015699814400333773,0.002452474844420913,0.015052622048398134,0.005860704746428049,0.07835447788238525,0.10000002384185791,0.10000002384185791,0.02915954116593908,0.04866271071411945,0.07379805129269759,0.08459723853954565,0.013681154817251337,0.037015703319688883,0.05360137765274877,0.06261796810540243,0.014554161736981847,0.04305141825792055,0.06669030011843753,0.09025029464513457
