metric,n_total,n_observed,n_censored,censored_fraction,min,q25,median,q75,max,reference,reference_call,reference_quantile_note
phase1_true_filter_mean_prob,12,12,0,0.0,0.17490833945416484,0.22872802747271462,0.25266449482064823,0.2860188149958961,0.34269680948639303,0.33259149687632206,非异常,位于四分位距外，经验分位位置 0.92
phase1_first_top_cycle,12,12,0,0.0,3.0,8.0,13.0,83.0,689.0,6,非异常,位于四分位距外，经验分位位置 0.17
phase1_stable_top_cycle,12,9,3,0.25,981.0,1042.0,1144.0,1156.0,1215.0,724,异常，单实现结论依赖种子,
phase2_true_filter_mean_prob,12,12,0,0.0,0.31771161636272693,0.34503931730195336,0.37316812166461133,0.4683940930367516,0.5196648179055591,0.3650905271830478,非异常,
phase2_first_top_cycle,12,12,0,0.0,89.0,91.0,93.0,99.5,120.0,120,非异常,位于四分位距外，经验分位位置 1.00
phase2_stable_top_cycle,12,7,5,0.4166666666666667,408.0,684.5,1001.0,1071.5,1216.0,560,非异常,位于四分位距外，经验分位位置 0.29
