basin_id,role,regime,selection_source
12375900,stratified,snow-dominated,conceptual_benchmark_15_basins
09035800,stratified,snow-dominated,conceptual_benchmark_15_basins
01580000,stratified,humid,conceptual_benchmark_15_basins
11481200,stratified,humid,conceptual_benchmark_15_basins
08109700,stratified,semi-arid/arid,conceptual_benchmark_15_basins
04213075,maximum-lag,stress,trained_parameter_table_maximum_lag

