truth_trial,stage,start_day,end_day,parameter_id,parameter_label
1,1,1,180,trained_center,校准中心参数
1,2,181,360,equifinal_diverse_2,等效异参方案2
1,3,361,540,equifinal_diverse_1,等效异参方案1
2,1,1,180,equifinal_diverse_2,等效异参方案2
2,2,181,360,equifinal_diverse_1,等效异参方案1
2,3,361,540,trained_center,校准中心参数
3,1,1,180,equifinal_diverse_1,等效异参方案1
3,2,181,360,trained_center,校准中心参数
3,3,361,540,equifinal_diverse_2,等效异参方案2
