truth_trial,stage,start_day,end_day,parameter_id,parameter_label,process_index
1,1,1,180,trained_center,Calibrated center,2
1,2,181,360,equifinal_diverse_2,Equal-fit alternative 2,2
1,3,361,540,equifinal_diverse_1,Equal-fit alternative 1,2
2,1,1,180,equifinal_diverse_2,Equal-fit alternative 2,2
2,2,181,360,equifinal_diverse_1,Equal-fit alternative 1,2
2,3,361,540,trained_center,Calibrated center,2
3,1,1,180,equifinal_diverse_1,Equal-fit alternative 1,2
3,2,181,360,trained_center,Calibrated center,2
3,3,361,540,equifinal_diverse_2,Equal-fit alternative 2,2
