parameter_name,equifinal_diverse_1,trained_center,equifinal_diverse_2
parTT,-1.6780754264252151,0.4899906312144009,1.3105730924947303
parCFMAX,2.3990648005216002,2.5549045075022465,3.704036943247782
parCFR,0.053492661009983199,0.046301234343430399,0.081868092607215906
parCWH,0.12863938978764089,4.790858379798471e-09,0.0027075538680224999
parFC,565.943809417745,115.41144086847932,485.13809014644278
parBETA,3.9300242243418939,1.0000000698913354,4.8580810716459997
parLP,0.68370355042512654,0.99999920590199864,0.3995755335956368
parK0,0.26999723284845167,0.89999999456875557,0.5349697172955139
parK1,0.19946837896795139,0.3593900045350728,0.42899214858503198
parUZL,78.093748600164318,44.363938574389763,14.820864037552679
parPERC,3.8430224748105832,9.9999995239829094,7.2566140236110517
parK2,0.0057130358488307002,0.022112227723475601,0.15214640737706919
lag_time,2.8855765890736942,1.7953195629813012,1.5494828503985754
