truth_trial,switch_between_days,state_name,absolute_boundary_change,non_boundary_median_absolute_change,non_boundary_95th_percentile_absolute_change,boundary_to_non_boundary_95th_ratio
1,180-181,SNOWPACK,0.0,6.269970434054866,22.187210614664366,0.0
1,180-181,MELTWATER,0.0,6.096553653407325e-08,0.10351199842902276,0.0
1,180-181,SM,12.175984253548592,7.961071921491687,22.959141994863522,0.5303327213304676
1,180-181,SUZ,1.7412099040903308,2.096636080528946,8.18190109317972,0.21281238727534496
1,180-181,SLZ,48.35936358748478,24.87438318620616,75.13181003265281,0.6436603026929267
1,180-181,qraw_t_minus_0,54.79312783348305,0.7347160245146372,8.345596144129473,6.565513941388845
1,180-181,qraw_t_minus_1,0.03799139189018952,0.7349266874746918,8.379443342505486,0.0045338801561524665
1,180-181,qraw_t_minus_2,0.12012814041256181,0.7380556754384866,8.466421001687959,0.014188774735937623
1,180-181,qraw_t_minus_3,1.313990065036883,0.7347160245146372,8.379443342505486,0.15681114023070594
1,180-181,qraw_t_minus_4,3.5631960088809773,0.7347160245146372,8.466421001687959,0.4208621338545035
1,180-181,qraw_t_minus_5,2.8858032271210554,0.7349266874746918,8.466421001687959,0.34085279087181114
1,180-181,qraw_t_minus_6,0.5371901516457136,0.7380556754384866,8.466421001687959,0.06344949672814681
1,180-181,qraw_t_minus_7,0.5534882774456271,0.7349266874746918,8.466421001687959,0.06537452807216622
1,180-181,qraw_t_minus_8,1.9889715329115454,0.7346321540226913,8.466421001687959,0.23492471405745144
1,180-181,qraw_t_minus_9,4.465377917777738,0.7346321540226913,8.466421001687959,0.5274221441253006
1,360-361,SNOWPACK,5.715522266415422,6.269970434054866,22.187210614664366,0.25760436341816745
1,360-361,MELTWATER,0.015475084420201802,6.096553653407325e-08,0.10351199842902276,0.14950039275700902
1,360-361,SM,7.8180917076542755,7.961071921491687,22.959141994863522,0.34052194587251383
1,360-361,SUZ,5.507375320495504,2.096636080528946,8.18190109317972,0.6731168291787771
1,360-361,SLZ,69.58820828850409,24.87438318620616,75.13181003265281,0.9262149848148283
1,360-361,qraw_t_minus_0,12.220120121022111,0.7347160245146372,8.345596144129473,1.4642597017611603
1,360-361,qraw_t_minus_1,14.563664994995609,0.7349266874746918,8.379443342505486,1.7380229687955642
1,360-361,qraw_t_minus_2,0.22554118768834286,0.7380556754384866,8.466421001687959,0.02663949591490625
1,360-361,qraw_t_minus_3,28.324338234933105,0.7347160245146372,8.379443342505486,3.380217166843928
1,360-361,qraw_t_minus_4,2.6858462054126244,0.7347160245146372,8.466421001687959,0.3172351345246291
1,360-361,qraw_t_minus_5,0.633817200763469,0.7349266874746918,8.466421001687959,0.0748624714784564
1,360-361,qraw_t_minus_6,0.35085464395409627,0.7380556754384866,8.466421001687959,0.041440727301907856
1,360-361,qraw_t_minus_7,1.253049823635454,0.7349266874746918,8.466421001687959,0.14800230503368922
1,360-361,qraw_t_minus_8,1.0283639612661628,0.7346321540226913,8.466421001687959,0.12146383472557494
1,360-361,qraw_t_minus_9,2.8800271708854996,0.7346321540226913,8.466421001687959,0.3401705597100954
2,180-181,SNOWPACK,0.0,6.59976941024818,22.32972183079697,0.0
2,180-181,MELTWATER,0.0,4.4834570569140594e-08,0.11872033982829407,0.0
2,180-181,SM,13.92465876222218,7.709553304418193,22.1108083230091,0.6297670604711365
2,180-181,SUZ,1.7412099040903308,2.1825070318792683,10.19636491404302,0.17076771170598617
2,180-181,SLZ,13.860053710511238,24.770990399440507,73.63087708823626,0.18823697691257854
