basin,NSE,KGE
01022500,0.7993209958076477,0.8394869905070523
01031500,0.7774966359138489,0.7870891388177884
01055000,0.6214593648910522,0.7354414694939899
01123000,0.6646915674209595,0.7333839616059457
01162500,0.7634826302528381,0.8639265644177607
01350000,0.6336385011672974,0.7568852731281344
01411300,0.6114497184753418,0.799058249534842
01413500,0.6558630466461182,0.7960395570766042
01434025,0.5664964914321899,0.6283225383815173
01510000,0.7536126971244812,0.8565305781408216
01532000,0.5155512094497681,0.5457694288177315
01548500,0.7811012864112854,0.836467366736336
01550000,0.7136303186416626,0.7471831584496886
01552000,0.73003089427948,0.7673083516618002
01552500,0.6341754198074341,0.6591945640509747
01586610,0.726814866065979,0.7038449182343226
01591400,0.6739752292633057,0.6183717516872733
01632000,0.49548983573913574,0.5437141367231937
01632900,0.46172773838043213,0.6969987015602499
01638480,0.5014956593513489,0.2650054541939413
01667500,0.6798913478851318,0.7864704881808899
01669520,0.5111525058746338,0.6025706310765038
02013000,0.7714859247207642,0.765208114404394
02038850,0.4983910322189331,0.6333584481589789
02069700,0.5178068280220032,0.7434918715164336
02096846,0.48795145750045776,0.4238747825763671
02128000,0.38641947507858276,0.29307390436469927
02149000,0.728256344795227,0.7536084901698697
02152100,0.44434022903442383,0.6522699820097893
02193340,0.4746766686439514,0.5313683818257784
02198100,0.39206361770629883,0.351142008514009
02231000,0.6864981651306152,0.6223188917128641
02296500,0.6304240822792053,0.760769577037085
02374500,0.6798217296600342,0.6973815032250663
02427250,0.6608697175979614,0.626427985121211
02464360,0.7269282341003418,0.7669384406812834
02472500,0.5640857815742493,0.7131909754205767
03015500,0.7438750863075256,0.7386915519378883
03026500,0.624103307723999,0.7022833082034601
03028000,0.7103564739227295,0.6926531329407577
03186500,0.787521243095398,0.8521725680592591
03238500,0.6295834183692932,0.7031087628839605
03384450,0.5916318893432617,0.6609820830303119
03463300,0.7927979230880737,0.6710324432896213
03488000,0.8042877912521362,0.8998555734623563
03574500,0.5163161158561707,0.6299804776096823
04197100,0.6578664779663086,0.7162137871167928
04216418,0.6716275215148926,0.7926526233958635
04224775,0.692396879196167,0.7397642159822211
05057200,0.31816190481185913,0.14844827921278958
05362000,0.6518204808235168,0.5538288831575316
05408000,-2.374777317047119,-0.5097235393703641
05413500,-0.12124979496002197,0.4403695343553735
05454000,0.4358118176460266,0.6996307097869335
05458000,0.5557746887207031,0.6834728683805884
05508805,0.745058536529541,0.8412388177364593
05525500,0.6514652967453003,0.7956011623612045
05556500,0.570574164390564,0.7855534497210988
05592050,0.6572690010070801,0.6829186917940697
05592575,0.6070981025695801,0.6772181397509465
06224000,0.6412174701690674,0.3564008343195826
06344600,0.07368296384811401,-0.270539901292985
06350000,0.11558014154434204,0.14959739795124738
06440200,0.11384975910186768,-0.14559584959812732
06447500,0.06697142124176025,0.0709034209177557
06853800,0.5108681917190552,0.42462813750465067
06892000,0.4637312889099121,0.7333446738548461
06903400,0.6763395071029663,0.6847904607447538
06919500,0.6351782083511353,0.5526492770329079
07196900,0.49395620822906494,0.561773868701573
07261000,0.39094531536102295,0.6254636929264203
07362587,0.6176866888999939,0.6805155105109688
08086212,0.4590158462524414,0.33455366822219845
08164600,0.564119815826416,0.455955363769019
08171300,0.698737382888794,0.37587494103072705
08176900,0.16685843467712402,0.39251800049656793
08178880,0.15516197681427002,0.5219275210436204
08269000,0.574012815952301,0.7320004183430877
08377900,0.31187063455581665,0.4633443633516028
08378500,0.4539017677307129,0.5989417083685195
09447800,0.29750990867614746,0.24392872707590696
09484600,0.02041715383529663,0.49590580031855047
09512280,0.6492106914520264,0.5521552158341301
10259000,0.1145140528678894,0.5045449019923122
11124500,-2.390885829925537,-0.6957469330818553
11264500,0.7886691689491272,0.7582192837717466
11475560,0.6929319500923157,0.6648938240875947
11522500,0.6701363325119019,0.4700200733351365
11523200,0.5231196880340576,0.31657099937976096
12041200,0.7599679231643677,0.8558226549457182
12056500,0.6776605844497681,0.6187627270743532
12082500,0.770867645740509,0.8333006297348523
12381400,0.38867151737213135,0.4878209560829323
12390700,0.5478870868682861,0.7590405543558758
12488500,0.6900874376296997,0.8254164224091844
13011500,0.7042707800865173,0.5568859426130472
13023000,0.7842110991477966,0.7213682612005695
13313000,0.2878325581550598,0.1075513002836711
14020000,0.5741187334060669,0.4218534009689576
14138870,0.8199536800384521,0.9003302719597409
14139800,0.8270746469497681,0.8892575326213303
14166500,0.7377514839172363,0.7143619244644777
14182500,0.80019211769104,0.7499766211712261
14306340,0.8414629697799683,0.7917443350690045
14325000,0.7898228168487549,0.684325121581135
14362250,-1.369910478591919,-1.306829252613663
