basin,NSE,KGE
01052500,0.7372039556503296,0.7103392502667846
01333000,0.7465633749961853,0.7656600898943325
01350080,0.6168906092643738,0.7069836337320081
01365000,0.643157958984375,0.7581191774078476
01414500,0.6213055849075317,0.7218758990270164
01423000,0.7461898326873779,0.7986350014303282
01439500,0.6394330859184265,0.8226223637694111
01440000,0.7662642598152161,0.8724804967715808
01484100,0.507093071937561,0.5071870448490132
01539000,0.7611809968948364,0.8175725035134715
01543000,0.704635500907898,0.719794716963891
01544500,0.7058101892471313,0.7505103791050705
01545600,0.7045626640319824,0.8075005550826013
01583500,0.6103154420852661,0.4981335666575283
01669000,0.6725918054580688,0.7302244574775951
02011400,0.6449103355407715,0.5281436058579945
02014000,0.7774186730384827,0.8869526704996383
02018000,0.8088670372962952,0.7214481848090624
02027500,0.4902380108833313,0.44158554286926166
02053800,0.6752068996429443,0.7181384060615703
02059500,0.579511284828186,0.5240014082504716
02077200,0.4862494468688965,0.4693872122041255
02092500,0.584395170211792,0.6549069135064816
02108000,0.6191257834434509,0.6733288731157762
02111500,0.6590973734855652,0.6966317690585575
02112360,0.4003850221633911,0.5901730542386594
02125000,0.6361112594604492,0.42321042343059423
02140991,0.6648503541946411,0.5136971537713914
02178400,0.7727144360542297,0.7441010542158232
02245500,0.39792245626449585,0.30763873092098803
02246000,0.3843662142753601,0.17329005815479082
02297155,0.02567923069000244,0.4284130905466421
02299950,0.45909589529037476,0.6438696175336296
02363000,0.7445375919342041,0.6694665584350139
02371500,0.7603722810745239,0.8705538510767405
02479155,0.6032335758209229,0.5152768186695901
03021350,0.5623975992202759,0.5313150609980799
03173000,0.8057841062545776,0.8212688645066917
03241500,0.6353369951248169,0.6754095530605935
03281500,0.7378782033920288,0.7934876052001922
03338780,0.7830535173416138,0.6700330278097857
03366500,0.7547590732574463,0.7576220861003167
03439000,0.6805525422096252,0.6249242700114137
03455500,0.56024169921875,0.5493375508318359
03460000,0.8067345023155212,0.8700368097384168
03604000,0.40369105339050293,0.6887469852547552
04024430,0.7205830216407776,0.8234930501400156
04040500,0.5227545499801636,0.6731882261881431
04045500,0.3164180517196655,0.3381188259826964
04074950,0.2688335180282593,0.41660065116225553
04115265,0.470955491065979,0.47362228149304386
04122500,0.6506164073944092,0.8119560225123201
04127918,0.6598712801933289,0.767129289620512
04185000,0.554332971572876,0.6220552511530293
04213000,0.6013380289077759,0.6395900535842514
04213075,0.39721959829330444,0.5195762841465301
04296000,0.6687504053115845,0.6840969720095902
05584500,0.7623485922813416,0.8524561603482264
05591550,0.7103052139282227,0.7681083797488786
06311000,0.3725811839103699,0.23435203430988105
06479215,0.2811753749847412,0.2273700575876315
06614800,0.19294464588165283,0.36116687815333226
06803510,0.5918567180633545,0.35241617531787506
06876700,0.3462707996368408,0.5362089199462503
06888500,0.7515444159507751,0.793187472882104
06889500,0.6966089010238647,0.6138506756358838
06910800,0.7845163941383362,0.7727487935967988
07057500,0.5654051303863525,0.6775553882464063
07145700,0.6386266946792603,0.6494936169962018
07197000,0.784247100353241,0.7918691417012184
07208500,0.4984973073005676,0.6985740758416317
07263295,0.5611155033111572,0.40775298566109497
07335700,0.3721218705177307,0.1728277108524895
07346045,0.5731379985809326,0.722897661533435
07359610,0.511074960231781,0.47002746801659034
07362100,0.6532993912696838,0.79616661898809
07375000,0.5076590776443481,0.4126913473594864
08013000,0.6426022052764893,0.5406919281597203
08023080,0.6726551055908203,0.7998189791686678
08150800,0.3064301609992981,-0.3385676320844093
08196000,0.16823214292526245,0.472071399753348
08200000,0.5639115571975708,0.5095552842510718
08324000,-0.6094632148742676,-0.21933223803849722
09352900,0.7235678434371948,0.5732668047919147
09378170,0.5593589544296265,0.27369431963535074
09386900,0.05855512619018555,-0.14505872842356937
09508300,0.32732075452804565,0.19654755792079115
09513780,0.284477174282074,-0.017995035061973086
10244950,-3.2515854835510254,-0.690845422953775
10343500,0.45870935916900635,0.7109871339881713
11481200,0.7997245788574219,0.763217432925688
12010000,0.7804827690124512,0.5539974907220772
12035000,0.8479427099227905,0.635304425123842
12054000,0.5812318325042725,0.6033630852443592
12073500,0.7936998009681702,0.8021199946310623
12092000,0.220220148563385,0.570036352635215
12143600,0.8231720924377441,0.8433363072930385
12147500,0.6710493564605713,0.623568129344548
12167000,0.8154261112213135,0.7527838372259947
12178100,0.7463711500167847,0.8257148727997382
12377150,0.5825554132461548,0.46599482679372606
13235000,0.6478819847106934,0.43624123379234037
14137000,0.5425201654434204,0.6355989957506093
14154500,0.6809703707695007,0.4066483679567806
14187000,0.782545268535614,0.5995473025916378
14236200,0.8044172525405884,0.819840450035866
14316700,0.8511621356010437,0.8171994930516956
