### channel=zhenjiang-oyv-qual seq=25
### host=login4
### started=2026-08-21T15:28:18+0800
### ---------- output ----------
=== A. IDENTITIES ===
1c4859cd7e20470251874005fb32fbc3d5aa1998ba1d408b9377d6f546c36d72  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/ladder_cost_summary.csv
71d769de46c3eb8b3c0a87f399810200f316c277334ebe7a011bad6afb653908  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/station_ranking.csv
=== B. HEADER ===
measured_against,target,condition,horizon_hours,median_cost_m,minimum_cost_m,maximum_cost_m,median_relative_cost,positive_fold_years,fold_count
=== C. TARGET-GAUGE FAILURE COSTS, ALL REPORTED HORIZONS ===
complete_observation,jiangyin,hidden_target,1,0.004062947834187155,-0.0005913954435064345,0.006370085922977595,0.11609509417175287,7,8
complete_observation,jiangyin,hidden_target,3,0.001283049355219213,-0.001503099532696183,0.005024790830526843,0.03127923824312222,5,8
complete_observation,jiangyin,hidden_target,6,0.002345518917436071,0.0014589096489701567,0.005543040612129249,0.04107612251246266,8,8
complete_observation,jiangyin,hidden_target,12,0.014915779811146751,-0.010656573736620323,0.028101142452368166,0.01782277608229517,7,8
complete_observation,jiangyin,hidden_target,24,-0.0036663266976079967,-0.030854688382135453,0.021476365189359636,-0.0037496714734294684,4,8
complete_observation,zhenjiang,hidden_target,1,0.0058857224176055685,0.00302026018311706,0.015824713324657597,0.15870434496260993,8,8
complete_observation,zhenjiang,hidden_target,3,0.007090330407349693,0.0006518596938893811,0.01424651097769689,0.2133854248591514,8,8
complete_observation,zhenjiang,hidden_target,6,0.007891530573989896,0.0017486951320986217,0.012506217010609957,0.18939633390285232,8,8
complete_observation,zhenjiang,hidden_target,12,0.01172912302235754,-0.0023425317598817497,0.018799243197924864,0.03060233470945347,7,8
complete_observation,zhenjiang,hidden_target,24,0.004939981286853648,-0.010216671326072846,0.03875423386410595,0.012724827094541799,6,8
=== D. SINGLE ADDITIONAL STATION LOSSES, ALL REPORTED HORIZONS ===
hidden_target,jiangyin,hidden_target_minus_datong,1,0.002018292676545073,-0.0013696419156761282,0.007362115384627953,0.05232443761183609,6,8
hidden_target,jiangyin,hidden_target_minus_datong,3,0.0013149196946639404,-0.0017555576890528786,0.006230820743542798,0.03182374327630227,5,8
hidden_target,jiangyin,hidden_target_minus_datong,6,-0.0007732324013309862,-0.002778373553295334,0.006073045894843931,-0.01202328583988244,2,8
hidden_target,jiangyin,hidden_target_minus_datong,12,0.013218880877356981,-0.006905559480491319,0.024189024698508366,0.01548892740645425,7,8
hidden_target,jiangyin,hidden_target_minus_datong,24,-0.00717539412414811,-0.038415044079424254,0.014437936770153537,-0.00815062735434823,3,8
hidden_target,jiangyin,hidden_target_minus_nanjing,1,0.0026374497149073773,-0.0008804188307487623,0.0035796894189762084,0.0835776494907873,7,8
hidden_target,jiangyin,hidden_target_minus_nanjing,3,-0.000185571661783299,-0.0012639609287934499,0.0026765043487496747,-0.0032029530532359666,3,8
