exp_id,filter_setting,overall_event_pass_rate,center_target_pass_rate,extreme_target_pass_rate,direction_0_to_1,direction_1_to_2,direction_2_to_0,direction_0_to_2,direction_2_to_1,direction_1_to_0,worst_direction_pass_rate,event_level_seed_agreement,post_day180_multiclass_brier,post_day180_true_candidate_negative_log_probability,eligible_overall_at_least_0.6183,selected_by_registered_rule,evidence_scope
NS03,fixed lower-groundwater variance 3e-8,0.6183333333333333,0.4,0.7275,0.54,0.9,0.39,0.67,0.8,0.41,0.39,0.9566666666666667,0.6519912311134178,6.490873147117681,true,true,exploratory seeds 0 and 1 only
NP01,state-proportional lower-groundwater variance 1x,0.55,0.235,0.7075,0.47,0.88,0.24,0.63,0.85,0.23,0.23,0.9466666666666667,0.518261469500983,3.921950207760712,false,false,exploratory seeds 0 and 1 only
NP02,state-proportional lower-groundwater variance 0.25x,0.585,0.295,0.73,0.47,0.9,0.29,0.67,0.88,0.3,0.29,0.9366666666666666,0.5441467372931104,4.623452693718559,false,false,exploratory seeds 0 and 1 only
NP03,state-proportional lower-groundwater variance 4x,0.5383333333333333,0.245,0.685,0.4,0.86,0.32,0.62,0.86,0.17,0.17,0.9366666666666666,0.4907081245311223,3.1012840196325238,false,false,exploratory seeds 0 and 1 only
NR01,fixed lower-groundwater variance 3e-8 and observation variance 0.5x,0.61,0.42,0.705,0.59,0.86,0.38,0.67,0.7,0.46,0.38,0.9533333333333334,0.6944276456999221,10.792543808734443,false,false,exploratory seeds 0 and 1 only
NR02,fixed lower-groundwater variance 3e-8 and observation variance 2x,0.61,0.375,0.7275,0.49,0.88,0.39,0.66,0.88,0.36,0.36,0.9466666666666667,0.6186404445614331,4.002869950350057,false,false,exploratory seeds 0 and 1 only
