order,basin_id,seed,arm_id,events_passed,multiclass_brier,stable_true_negative_log_probability,source_probability_path,source_probability_bytes,source_probability_sha256
147,01144000,0,C,6,0.1325727102639821,0.2600468541852209,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/01144000_s0.npz,84967,cb852ddbb069ff719c5ffa6a899caf554d53e100749a85e7b4d68f71d5f67715
148,01144000,1,C,5,0.1145876882479917,0.2303723679884453,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/01144000_s1.npz,84951,1a14a6c1c09fc625c576447c27f95aeb9e3b605e0f53856e861242fb5f2182c7
149,02046000,0,C,4,0.2814841196639131,0.473077786967683,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02046000_s0.npz,92359,b448f8f61fcbbc3ef63636b42484f1cd16410acfb5d56fb7c8674403ac23c779
150,02046000,1,C,4,0.3613108508735957,0.7222358907813158,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02046000_s1.npz,92427,0c203da6a4a445e6f003ae2d92e18a5b3f56277bf0fb7146655cf57a2eaf54dc
151,02028500,0,C,5,0.1320319557870796,0.2560027219835711,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02028500_s0.npz,88940,2645e83d1e8e77f38ef297d75455e38b18badc0b44811b796143c31dc7080397
152,02028500,1,C,5,0.121135486504235,0.2218871777644699,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02028500_s1.npz,89029,9846017f8e2c1e69bb719e0b0d020da678aa16db9e7d135b6f81dfa9e3e7d3c1
153,02202600,0,C,4,0.2948187476761286,0.5318597738266956,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02202600_s0.npz,94931,803c0bb9bbdda443fb820459c1de6928332fbe18cb754077fdaeff5e7a20c6cf
154,02202600,1,C,4,0.2143198549597858,0.3675279288032256,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02202600_s1.npz,93200,72afd666014a0e1240e385c0d08fc62751792c9ebe910e91c9681345addc834d
155,02371500,0,C,3,0.2934458943573268,0.6278921392439674,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02371500_s0.npz,93840,28c0312e7302335bd0b98c88fa579b2cd38d40eb18d4ae8e00f5484a3f8ddc60
156,02371500,1,C,4,0.1934225858578253,0.3430505355315719,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02371500_s1.npz,94013,74b5892416ea9acbb50d61263c84c7366a2d1a0308b1520274ff4f5d3f12c315
157,05488200,0,C,4,0.5677138258203805,4.399829126758108,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/05488200_s0.npz,91651,6b8e640eb8822d1a1fd5d83ec1cb0c44e50aaba1f5c3deb40efda39c02fe564a
158,05488200,1,C,5,0.1492862387905782,0.274161090954329,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/05488200_s1.npz,93247,d6596b49021c6ef3d5390b31a7cd84b75c4a843787a4e478397b1d0be33a8c79
159,06892000,0,C,3,0.2270817664463744,0.3776738064641796,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06892000_s0.npz,93968,a7f368f5b5ca0f6d8e2e3a633fa5a29f69ed44d5ed0de383083f4f7f02048476
160,06892000,1,C,3,0.2683483428512278,0.4888278957755761,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/06892000_s1.npz,93996,8dc6615be509fe22fcbe9530750c563a70fbb5e86aeebc37becda7275e4e6aab
161,08070200,0,C,3,0.4769046166480397,1.0594954153574183,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08070200_s0.npz,94598,a43a2af12736309f5874ce2149b6d97019367fb7092325d94009dc682eeff2f8
162,08070200,1,C,3,0.4606476052855958,1.0663593938258338,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/08070200_s1.npz,94586,48607989cbcae2ec6a2e6df3da77b98a27e6999262e8255b022abe92f7c25532
163,01568000,0,C,5,0.1303137043289337,0.2312327024241776,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/01568000_s0.npz,90746,7bc003786064092c6b43dedfe606b05b02ffc2b92e83e62091d52cb4968c9868
164,01568000,1,C,6,0.1064867389054785,0.2009675699470955,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/01568000_s1.npz,90823,7abd8c3996c7f37fa33ccf18834719cb35f6076eef9cf7e18e2208475cd02ede
165,02096846,0,C,4,0.4041718607646657,28970.277398336373,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02096846_s0.npz,91974,dfeaa46a06b8c9dbac41edff6d5752d4c6fe01e1800e7f9619574b5a27ab2e44
166,02096846,1,C,4,0.3740372011856829,1364.064251219173,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02096846_s1.npz,92381,81adffa41e7591e86e16f06fe03398452b4eb7156fbcaae3e8e3c6a47ca4ae7b
167,04196800,0,C,5,0.1193457934942692,0.2043349911909994,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/04196800_s0.npz,91786,59caa0eec79f6b293226d1c2d74f038dab485201d80011beef75973af86bc1d0
168,04196800,1,C,4,0.1239664843829918,0.2118454911998525,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/04196800_s1.npz,92028,08d634bc888f1b547f4b734937c4daccb722ae12621484714d8aff5834dfe35d
169,04015330,0,C,5,0.1605974083382847,0.5240155315682818,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/04015330_s0.npz,86242,fa656517c39b25a3b8d18818e7982287633b7e9f20308ee0461e1edf29321e7b
170,04015330,1,C,6,0.1552982455932243,0.3552374507859977,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/04015330_s1.npz,85907,374802182ae292fb094fed8b4105146134e7197afd2fb09423288b50ec3635f8
171,14187000,0,C,3,0.1344418511483001,0.2384331242294985,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/14187000_s0.npz,90311,2469cc2e0c0592e27b253283e040b63b35aa42e2951121bb6d3074f102731fa2
172,14187000,1,C,3,0.1960543098108119,0.3367953959902089,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/14187000_s1.npz,90239,8e8c58bf8c378f0e31a6a6df4f91cc9092006b2935c4915491a2f95437f624d8
173,02298123,0,C,6,0.1675917326879898,0.4351498134002632,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02298123_s0.npz,95502,f821c8e9dc332382424e333f3fe8e91c0359bc6244557b0b16ed59f4bd01a8ef
174,02298123,1,C,6,0.1609938842048324,0.4060087464264161,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/02298123_s1.npz,95447,c9bd917511d3214b6d1f0dea3bac7ba9e0c76cf771e68fa49f0f7d14227f4cb9
175,05501000,0,C,4,0.3579527013997505,0.884172891197518,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/05501000_s0.npz,91023,99593dbdce302c12999a44aa92b57312ab6370655376281d27c2e3af66c1247e
176,05501000,1,C,3,1.0605353236543815,1173499.16782037,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/05501000_s1.npz,81062,50c510a938796dfddcbe99acb1c549162ae5e54d843496990294ff689613e859
177,04197170,0,C,3,0.2184752885177095,0.3409835151639006,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/04197170_s0.npz,88478,01d21e79ff0aa9c2dc651a0a628fa6eb49cdc81f16823b70477b1360febe73ee
178,04197170,1,C,3,0.1565561605342564,0.2812699334140068,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/04197170_s1.npz,89603,9027551c2cc70e2b2f819933c85c54fcbadd288f968f43877cc6b29a799f429d
179,07184000,0,C,3,0.450642580089475,0.7606651178467929,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07184000_s0.npz,92099,6939e664bbb42da9336994ccce247294bcab4569fbd5ee8d4aeaeeea669d82b4
180,07184000,1,C,3,0.4786899505909449,5.812291998357586,results/23_camels_switch_confirmation/camels_parfc_state_interaction_01b_design90_s01_20260810_local/arms/C/probs/07184000_s1.npz,93333,9133c9a0c02c427f8a83ecbde316a0aed7e1814396eb14c11ff2b64113626f66
